en,de,article
"In this article, you will learn how to allow employees to swap (exchange) shifts with each other.","In diesem Artikel lernst Du, wie Du Deinen Mitarbeitern ermöglichst, im Mitarbeiterportal injixo Me Schichten untereinander zu tauschen.",enable-employees-to-swap-shifts.md
"To do this, you will use planning periods. Read the article {% link_new What are planning periods? | features/scheduling/planning-periods/what-are-planning-periods.md %} first.",Hierfür verwendest Du Planperioden. Lies daher zuerst den Artikel {% link_new Was sind Planperioden? | features/scheduling/planning-periods/what-are-planning-periods.md %}.,enable-employees-to-swap-shifts.md
> This article is about _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,> In diesem Artikel geht es um _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,enable-employees-to-swap-shifts.md
>,>,enable-employees-to-swap-shifts.md
"> If you are using injixo Essential WFM, Advanced WFM, or Enterprise WFM, use {% link_new Scheduling Periods | features/scheduling/schedules/scheduling-periods/schedules-enable-employees-to-swap-shifts.md %} under _Plan > Schedules_{:.breadcrumbs} instead.","> Wenn Du injixo Advanced WFM oder Enterprise WFM verwendest, nutze stattdessen {% link_new Planperioden | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %} unter _Plan > Schedules_{:.breadcrumbs}.",enable-employees-to-swap-shifts.md
## Allow employees to swap shifts,## Schichttausch zwischen Mitarbeitern ermöglichen,enable-employees-to-swap-shifts.md
"To allow shift swaps, you first have to activate the option in injixo Me. Click _Me_{:.breadcrumbs} in the main navigation and turn on **Shift swap**.","Um den Schichttausch zu ermöglichen, musst Du zunächst die Option in injixo Me aktivieren. Klicke auf _Me_{:.breadcrumbs} in der Hauptnavigation und aktiviere die Option **Schichttauschbörse**.",enable-employees-to-swap-shifts.md
1. Go to _WFM > Scheduling > SchedulePro > Planning Periods_{:.breadcrumbs}.,1. Gehe zu _WFM > Scheduling > SchedulePro > Planperioden_{:.breadcrumbs}.,enable-employees-to-swap-shifts.md
2. Select the **Planning Unit** for which you want to allow shift swaps among employees.,2. Wähle eine **Planungseinheit** aus.,enable-employees-to-swap-shifts.md
3. Select the **Type** _Standard_.,3. Wähle den **Typ** _Standard_.,enable-employees-to-swap-shifts.md
"4. Pick a **Selection** if you want to limit the option to swap shifts to a certain group of agents. Otherwise, keep **[All]**.","4. Wähle eine **Auswahl**, wenn Du die Möglichkeit zum Schichttausch auf eine bestimmte Gruppe von Mitarbeitern beschränken möchtest. Wähle ansonsten **[Alle]**.",enable-employees-to-swap-shifts.md
5. Click _Apply_{:.doc-button}.,5. Klicke auf _Anwenden_{:.doc-button}.,enable-employees-to-swap-shifts.md
"6. Select the planning period with the date range for which you want to allow shift swaps and click _![edit button](/assets/img/common/item-edit.gif)_{:.doc-button-icon} in the action bar. If there is no suitable planning period in the list, create a new one by clicking the {% icon item-add %}.","6. Wähle die Planperiode mit dem Datumsbereich aus, für den Du das Tauschen von Schichten zulassen möchtest und klicke auf das {% icon item-edit %} in der Aktionsleiste. Wenn es keine passende Planperiode in der Liste gibt, erstelle eine neue mit einem Klick auf das {% icon item-add %}.",enable-employees-to-swap-shifts.md
"In both cases, the following dialog appears:",In beiden Fällen erscheint der folgende Dialog:,enable-employees-to-swap-shifts.md
"{{ 3 | image: 'Define Planning Period', '60%' }}","{{ 3 | image: 'Define Planning Period', '60%' }}",enable-employees-to-swap-shifts.md
1. Use **Valid From** and **Valid To** to define the time period for which you want to allow shift swaps.,"1. Lege bei einer neuen Planperiode mit **Gültig von** und **Gültig bis** den Zeitraum fest, für den Du das Tauschen von Schichten erlauben willst.",enable-employees-to-swap-shifts.md
2. Select the **Status** _Enabled_.,2. Wähle den **Status** _Freigegeben_.,enable-employees-to-swap-shifts.md
"3. Optional: Set a **Deadline**. Until that date, employees can swap shifts.",3. Optional: Setze einen **Stichtag**. Bis zu diesem Datum können Mitarbeiter Schichten tauschen.,enable-employees-to-swap-shifts.md
4. Confirm with _Ok_{:.doc-button}.,4. Klicke auf _Ok_{:.doc-button}.,enable-employees-to-swap-shifts.md
Your employees can swap shifts in injixo Me for the time period defined by the planning period. This is possible for all {% link_new activities | features/administration/activity-examples.md %} which are configured as **Exchangeable with shift swap**.,"Deine Mitarbeiter können nun im Mitarbeiterportal injixo Me für den durch die Planperiode definierten Zeitraum Schichten tauschen. Voraussetzung hierfür ist, dass die entsprechenden {% link_new Aktivitäten | features/administration/activity-examples.md %} als **Tauschbar beim Schichttausch** konfiguriert sind.",enable-employees-to-swap-shifts.md
Batch replace an activity,Eine Aktivität im Schichtplan austauschen,batch-replace-an-activity.md
Replace all instances of an activity with another activity in an existing schedule (SchedulePro).,Ersetze in einem bestehenden Schichtplan alle Instanzen einer Aktivität durch eine andere Aktivität (SchedulePro).,batch-replace-an-activity.md
"In this article, you will learn how to batch replace an activity with another activity in an existing schedule.","In diesem Artikel lernst Du, wie Du in einem bestehenden Schichtplan eine Aktivität komplett durch eine andere Aktivität ersetzt.",batch-replace-an-activity.md
"To do this, you will use planning periods. Read the article {% link_new What are Planning Periods? | features/scheduling/planning-periods/what-are-planning-periods.md %} first.",Hierfür verwendest Du Planperioden. Lies daher zuerst den Artikel {% link_new Was sind Planperioden? | features/scheduling/planning-periods/what-are-planning-periods.md %}.,batch-replace-an-activity.md
> This article is about _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,> In diesem Artikel geht es um _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,batch-replace-an-activity.md
>,>,batch-replace-an-activity.md
"> If you are using injixo Advanced WFM or Enterprise WFM, use the function {% link_new Replace activities | features/scheduling/schedules/schedules-replace-activities.md %} under _Plan > Schedules_{:.breadcrumbs} instead.","> Wenn Du injixo Advanced WFM oder Enterprise WFM verwendest, nutze stattdessen die Funktion {% link_new Aktivitäten ersetzen | features/scheduling/schedules/schedules-replace-activities.md %} unter _Plan > Schedules_{:.breadcrumbs}.",batch-replace-an-activity.md
## Select or create a planning period,## Eine Planperiode auswählen oder erstellen,batch-replace-an-activity.md
1. Go to _WFM > Scheduling > SchedulePro > Planning Periods_{:.breadcrumbs}.,1. Gehe zu _WFM > Scheduling > SchedulePro > Planperioden_{:.breadcrumbs}.,batch-replace-an-activity.md
2. Choose a **Planning Unit**.,2. Wähle eine **Planungseinheit** aus.,batch-replace-an-activity.md
3. Choose the **Type** _Standard_.,3. Wähle den **Typ** _Standard_.,batch-replace-an-activity.md
4. For **Selection** choose **[All]**.,4. Für **Auswahl** wähle **[Alle]**.,batch-replace-an-activity.md
5. Click _Apply_{:.doc-button}.,5. Klicke auf _Anwenden_{:.doc-button}.,batch-replace-an-activity.md
6. Find a planning period that contains the date range for which you want to batch replace the activity. It doesn't have to match the date range exactly.,"6. Wähle die Planperiode mit dem Datumsbereich aus, für den Du die Aktivität austauschen möchtest. Der Datumsbereich der Planperiode kann auch größer sein als der Datumsbereich, in dem Du die Aktivität ersetzen willst.",batch-replace-an-activity.md
7. Click _![edit button](/assets/img/common/item-edit.gif)_{:.doc-button-icon}.,7. Klicke auf das {% icon item-edit %}.,batch-replace-an-activity.md
8. Select the **Status** _Locked_ to make sure that employees cannot access the schedule.,"8. Setze den **Status** auf _Gesperrt_, damit der Schichtplan im gewählten Zeitraum nicht mehr für Mitarbeiter zugänglich ist.",batch-replace-an-activity.md
9. Click _Ok_{:.doc-button}.,9. Klicke auf _Ok_{:.doc-button}.,batch-replace-an-activity.md
"If there is no suitable planning period in the list, create a new one:","Wenn es keine passende Planperiode in der Liste gibt, erstelle eine neue:",batch-replace-an-activity.md
1. Click the {% icon item-add %} in the action bar.,1. Klicke auf das {% icon item-add %} in der Aktionsleiste.,batch-replace-an-activity.md
2. Use **Valid From** and **Valid To** to define the time period in which you want to replace an activity.,"2. Lege mit **Gültig von** und **Gültig bis**, den Zeitraum fest, in dem Du die Aktivität austauschen willst.",batch-replace-an-activity.md
3. Select the **Status** _Locked_ to make sure that employees cannot access the schedule.,"3. Setze den **Status** auf _Gesperrt_, damit der Schichtplan im gewählten Zeitraum nicht für Mitarbeiter zugänglich ist.",batch-replace-an-activity.md
4. Click _Ok_{:.doc-button}.,4. Klicke auf _Ok_{:.doc-button}.,batch-replace-an-activity.md
## Batch replace an activity,## Eine Aktivität im Schichtplan austauschen,batch-replace-an-activity.md
Select a planning period with the date range for which you want to perform a batch replacement:,"Wähle die Planperiode mit dem Datumsbereich, in dem Du die Aktivität austauschen möchtest:",batch-replace-an-activity.md
1. Click the planning period. A menu opens to the right.,1. Klicke auf die Planperiode. Es öffnet sich ein Menü auf der rechten Seite.,batch-replace-an-activity.md
2. Click _Exchange_{:.doc-button} in the section _Activity_.,2. Klicke auf _Austauschen_{:.doc-button} im Bereich _Aktivität_.,batch-replace-an-activity.md
"3. Optional: Change the **Start Date** and **End Date** if you want to further limit the timeframe. If you don't change anything, it will use the time frame of the planning period.","3. Optional: Ändere das **Startdatum** und **Enddatum**, um den Zeitrahmen weiter einzugrenzen. Wenn Du nichts änderst, wird der Zeitrahmen der Planperiode verwendet.",batch-replace-an-activity.md
4. Optional: Change the **Employee Selection** method if you want to run the process for certain employees only. Choose one or more of your selections or employees from the list. Press the _Shift_ or _CTRL_ key to select multiple entries at once.,"4. Optional: Ändere die Methode der **Mitarbeiterauswahl**, um den Prozess nur für bestimmte Mitarbeiter auszuführen. Wähle eine oder mehrere Auswahlen oder Mitarbeiter aus der Liste. Drücke die _Umschalt_- oder _Strg_-Taste, um mehrere Einträge auf einmal auszuwählen.",batch-replace-an-activity.md
"5. For **Levels**, check one or more checkboxes to select the levels in which you want to perform the activity replacement.","5. Kreuze bei **Ebenen** ein oder mehrere Kästchen an, um die Planungsebenen auszuwählen, in denen Du die Aktivitätsersetzung durchführen möchtest.",batch-replace-an-activity.md
"6. For **Search**, select the activity you want to replace.","6. Wähle bei **Suchen** die Aktivität aus, die Du ersetzen möchtest.",batch-replace-an-activity.md
"7. For **Replace**, select the activity that you want to replace the other activity with.","7. Wähle bei **Ersetzen** die Aktivität aus, mit der Du die andere Aktivität ersetzen möchtest.",batch-replace-an-activity.md
"8. To start the replacement, click _Ok_{:.doc-button}.","8. Um die Ersetzung durchzuführen, klicke auf _Ok_{:.doc-button}.",batch-replace-an-activity.md
"{{ 2 | image: 'Exchange activities', '50%' }}","{{ 2 | image: 'Exchange activities', '50%' }}",batch-replace-an-activity.md
Allow time-off requests and sick leave,Mitarbeitern das Beantragen von Urlaub und Abwesenheiten ermöglichen,enable-time-off-and-request-sick-leave.md
Allow employees to request time off or add sick leave in injixo Me.,"Ermögliche deinen Mitarbeitern, im Mitarbeiterportal injixo Me Urlaub und Abwesenheiten zu beantragen.",enable-time-off-and-request-sick-leave.md
"In this article, you will learn how to allow employees to request time off or add sick leave.","In diesem Artikel lernst du, wie du deinen Mitarbeitern ermöglichst, im Mitarbeiterportal injixo Me Urlaub und Abwesenheiten zu beantragen.",enable-time-off-and-request-sick-leave.md
"To do this, you will use planning periods. Read the article {% link_new What are planning periods? | features/scheduling/planning-periods/what-are-planning-periods.md %} first.",Hierfür verwendest du Planperioden. Lies daher zuerst den Artikel {% link_new Was sind Planperioden? | features/scheduling/planning-periods/what-are-planning-periods.md %}.,enable-time-off-and-request-sick-leave.md
> This article is about _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,> In diesem Artikel geht es um _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,enable-time-off-and-request-sick-leave.md
>,>,enable-time-off-and-request-sick-leave.md
"> If you are using injixo Essential WFM, Advanced WFM, or Enterprise WFM, use {% link_new Scheduling Periods | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %} under _Plan > Schedules_{:.breadcrumbs} and {% link_new Time-Off Periods | features/scheduling/time-off/time-off-periods.md %} under _Plan > Time Off_{:.breadcrumbs} instead.","> Wenn du injixo Essential WFM, Advanced WFM oder Enterprise WFM verwendest, nutze stattdessen {% link_new Planperioden | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %} unter _Plan > Schedules_{:.breadcrumbs} und {% link_new Abwesenheitsperioden | features/scheduling/time-off/time-off-periods.md %} unter _Plan > Time Off_{:.breadcrumbs}.",enable-time-off-and-request-sick-leave.md
## Allow time-off requests and sick leave,## Mitarbeitern das Beantragen von Urlaub und Abwesenheiten ermöglichen,enable-time-off-and-request-sick-leave.md
"To allow _time-off requests_ or sick leave, you first have to activate the option in injixo Me. Click _Me_{:.breadcrumbs} in the main navigation and turn on **Time Off Requests**.","Um das Beantragen von _Urlaub oder Abwesenheiten_ zu ermöglichen, musst du zunächst die Option in injixo Me aktivieren. Klicke auf _Me_{:.breadcrumbs} in der Hauptnavigation und schalte die Option **Urlaub/Abwesenheiten** ein.",enable-time-off-and-request-sick-leave.md
1. Go to _WFM > Scheduling > SchedulePro > Planning Periods_{:.breadcrumbs}.,1. Gehe zu _WFM > Scheduling > SchedulePro > Planperioden_{:.breadcrumbs}.,enable-time-off-and-request-sick-leave.md
2. Choose the **Planning Unit** you want to allow time-off requests for.,"2. Wähle die **Planungseinheit**, für die du das Beantragen von Urlaub oder Abwesenheiten ermöglichen willst.",enable-time-off-and-request-sick-leave.md
"3. As **Type**, choose one of your requestable activities. Learn how to configure an {% link_new activity as **Requestable in Me** | features/administration/activities.md %}. Then add the activity to the {% link_new planning unit | features/administration/create-and-manage-planning-units.md %}.","3. Wähle als **Typ** eine _wünschbare_ Aktivität aus der Liste. Wenn du noch keine {% link_new Aktivität als wünschbar | features/administration/activities.md %} konfiguriert hast, hole das jetzt nach und {% link_new weise die Aktivität der Planungseinheit zu | features/administration/create-and-manage-planning-units.md %}.",enable-time-off-and-request-sick-leave.md
"4. Choose a **Selection** if you want to limit time-off requests to a certain group of agents. Otherwise, keep **[All]**.","4. Wähle eine **Auswahl**, wenn du das Beantragen von Urlaub oder Abwesenheiten auf eine bestimmte Mitarbeitergruppe beschränken willst. Wähle ansonsten **[Alle]**.",enable-time-off-and-request-sick-leave.md
5. Click _Apply_{:.doc-button}.,5. Klicke auf _Anwenden_{:.doc-button}.,enable-time-off-and-request-sick-leave.md
"6. If a matching planning period exists, select it and click the _![edit button](/assets/img/common/item-edit.gif)_{:.doc-button-icon} button in the action bar. If there is no suitable planning period in the list, create a new one by clicking the {% icon item-add %} button in the action bar.","6. Existiert eine passende Planperiode, wähle diese aus und klicke auf _![edit button](/assets/img/common/item-edit.gif)_{:.doc-button-icon} in der Aktionsleiste. Wenn es keine passende Planperiode in der Liste gibt, erstelle eine neue mit einem Klick auf das {% icon item-add %}.",enable-time-off-and-request-sick-leave.md
"In both cases, the following dialog appears:",In beiden Fällen erscheint der folgende Dialog:,enable-time-off-and-request-sick-leave.md
"{{ 3 | image: 'Define Planning Period', '60%' }}","{{ 3 | image: 'Define Planning Period', '60%' }}",enable-time-off-and-request-sick-leave.md
"1. Use **Valid From** and **Valid To** to define a time period, e.g. three months or the entire year. A planning period for vacation or other absences is usually longer than just a week.","1. Lege bei einer neuen Planperiode mit **Gültig von** und **Gültig bis** einen Zeitraum fest, z.B. drei Monate oder auch das ganze Jahr. Eine Planperiode für Urlaub oder andere Abwesenheiten ist meist länger als nur eine Woche.",enable-time-off-and-request-sick-leave.md
2. Select the **Status** _Enabled_.,2. Wähle den **Status** _Freigegeben_.,enable-time-off-and-request-sick-leave.md
"3. Optional: Set a **Deadline**. Until that date, employees can request time off.","3. Optional: Setze einen **Stichtag**. Bis zu diesem Datum, können Mitarbeiter Anträge einreichen.",enable-time-off-and-request-sick-leave.md
"Your employees will now see the option to request time off in injixo Me for the time period defined by the planning period. As a planner, you can then {% link_new approve or reject | features/scheduling/time-off/vacation-absences-management.md %} time-off requests.",Deine Mitarbeiter können nun im Mitarbeiterportal injixo Me Urlaubs- und sonstige Abwesenheitsanträge für den durch die Planperiode definierten Zeitraum einreichen. Als Planer kannst du die Anträge dann {% link_new genehmigen oder ablehnen | features/scheduling/time-off/vacation-absences-management.md %}.,enable-time-off-and-request-sick-leave.md
Copy or back up schedules,Schichtpläne kopieren oder sichern,copy-and-back-up-schedules.md
Copy or back up your schedules and other elements in the different scheduling levels of injixo (SchedulePro).,Kopiere oder sichere Schichtpläne und andere Elemente in den verschiedenen Planungsebenen von injixo (SchedulePro).,copy-and-back-up-schedules.md
"In this article, you will learn how to copy or back up your schedules and other elements in the different scheduling levels of injixo.","In diesem Artikel lernst Du, wie Du Schichtpläne und andere Elemente in den verschiedenen Planungsebenen von injixo kopierst oder sicherst.",copy-and-back-up-schedules.md
"To do this, you will use planning periods. Read the article {% link_new What are Planning periods? | features/scheduling/planning-periods/what-are-planning-periods.md %} first.",Hierfür verwendest Du Planperioden. Lies daher zuerst den Artikel {% link_new Was sind Planperioden? | features/scheduling/planning-periods/what-are-planning-periods.md %}.,copy-and-back-up-schedules.md
> This article is about _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,> In diesem Artikel geht es um _WFM > Scheduling > SchedulePro_{:.breadcrumbs}.,copy-and-back-up-schedules.md
>,>,copy-and-back-up-schedules.md
"> If you are using injixo Advanced WFM or Enterprise WFM, use the function {% link_new Copy level content | features/scheduling/schedules/schedules-copy-level-content.md %} under _Plan > Schedules_{:.breadcrumbs} instead.","> Wenn Du injixo Advanced WFM oder Enterprise WFM verwendest, nutze stattdessen die Funktion {% link_new Ebeneninhalte kopieren | features/scheduling/schedules/schedules-copy-level-content.md %} unter _Plan > Schedules_{:.breadcrumbs}.",copy-and-back-up-schedules.md
## Levels in injixo,## Ebenen in injixo,copy-and-back-up-schedules.md
"In injixo you can use different levels for scheduling purposes. Levels can contain, among other elements, the activities or day models used for scheduling, shift requests or employee availability data. You can copy the data of a level, e.g. your complete schedule or parts of it, within the same level or to another level. This can be helpful to speed up your scheduling process.","In injixo kannst Du verschiedene Ebenen für Planungszwecke nutzen. Ebenen enthalten - unter anderem - Tagesmodelle oder Aktivitäten für die Schichtplanung, Schichtwünsche oder Daten zur Verfügbarkeit von Agenten. Du kannst die Daten einer Ebene innerhalb derselben Ebene oder in eine andere Ebene kopieren, z.B. Deinen kompletten Schichtplan oder Teile davon. Das kann hilfreich sein, um Deine Planung zu beschleunigen.",copy-and-back-up-schedules.md
"You can create a backup by copying the complete schedule to another level. Backups are recommended from time to time, especially before you try out new scheduling methods.","Du kannst ein Backup anlegen, indem Du den kompletten Schichtplan in eine neue Ebene kopierst. Backups sind von Zeit zu Zeit empfehlenswert, besonders bevor du neue Planungsmethoden ausprobierst.",copy-and-back-up-schedules.md
## Select or create a planning period,## Eine Planperiode auswählen oder erstellen,copy-and-back-up-schedules.md
1. Go to _WFM > Scheduling > SchedulePro > Planning Periods_{:.breadcrumbs}.,1. Gehe zu _WFM > Scheduling > SchedulePro > Planperioden_{:.breadcrumbs}.,copy-and-back-up-schedules.md
2. Choose a **Planning Unit**.,2. Wähle eine **Planungseinheit** aus.,copy-and-back-up-schedules.md
3. Choose the **Type** _Standard_.,3. Wähle den **Typ** _Standard_.,copy-and-back-up-schedules.md
4. For **Selection** choose **[All]**.,4. Für **Auswahl** wähle **[Alle]**.,copy-and-back-up-schedules.md
5. Click _Apply_{:.doc-button}.,5. Klicke auf _Anwenden_{:.doc-button}.,copy-and-back-up-schedules.md
6. Find a planning period that contains the date range for which you want to copy schedules. It doesn't have to match the date range exactly.,"6. Wähle die Planperiode mit dem Datumsbereich aus, für welchen Du Schichtpläne kopieren oder sichern möchtest. Der Datumsbereich der Planperiode kann auch größer sein als der Datumsbereich, den Du kopieren willst.",copy-and-back-up-schedules.md
7. Click _![edit button](/assets/img/common/item-edit.gif)_{:.doc-button-icon}.,7. Klicke auf das {% icon item-edit %}.,copy-and-back-up-schedules.md
8. Select the **Status** _Locked_ to make sure that employees cannot access the schedule.,"8. Setze den **Status** auf _Gesperrt_, damit der Schichtplan im gewählten Zeitraum nicht für Mitarbeiter zugänglich ist.",copy-and-back-up-schedules.md
9. Click _Ok_{:.doc-button}.,9. Klicke auf _Ok_{:.doc-button}.,copy-and-back-up-schedules.md
"If there is no suitable planning period in the list, create a new one:","Wenn es keine passende Planperiode in der Liste gibt, erstelle eine neue:",copy-and-back-up-schedules.md
1. Click the {% icon item-add %} in the action bar.,1. Klicke auf das {% icon item-add %} in der Aktionsleiste.,copy-and-back-up-schedules.md
2. Use **Valid From** and **Valid To** to define the time period for which you want to copy schedules.,"2. Lege mit **Gültig von** und **Gültig bis**, den Zeitraum fest, den Du kopieren willst.",copy-and-back-up-schedules.md
3. Select the **Status** _Locked_ to make sure that employees cannot access the schedule.,"3. Setze den **Status** auf _Gesperrt_, damit der Schichtplan im gewählten Zeitraum nicht für Mitarbeiter zugänglich ist.",copy-and-back-up-schedules.md
4. Click _Ok_{:.doc-button}.,4. Klicke auf _Ok_{:.doc-button}.,copy-and-back-up-schedules.md
## Copy or back up a schedule,## Den Schichtplan kopieren,copy-and-back-up-schedules.md
Select a planning period with the date range in which you want to copy or back up schedules:,"Wähle eine Planperiode mit dem Datumsbereich, für welchen Du Schichtpläne kopieren oder sichern möchtest:",copy-and-back-up-schedules.md
1. Click the planning period. A menu opens to the right.,1. Klicke auf die Planperiode. Es öffnet sich ein Menü auf der rechten Seite.,copy-and-back-up-schedules.md
2. Click _Copy_{:.doc-button} in the section _Level_.,2. Klicke auf _Kopieren_{:.doc-button} im Abschnitt _Ebene_.,copy-and-back-up-schedules.md
"3. Optional: Change the **Start Date** and **End Date** if you want to further limit the timeframe. If you don't change anything, it will use the time frame of the planning period.","3. Optional: Ändere das **Startdatum** und **Enddatum**, um den Zeitrahmen weiter einzugrenzen. Wenn Du nichts änderst, wird der Zeitrahmen der Planperiode verwendet.",copy-and-back-up-schedules.md
4. Optional: Change the **Employee Selection** method if you want to run the process for certain employees only. Choose one or more of your selections or employees from the list. Press the _Shift_ or _CTRL_ key to select multiple entries at once.,"4. Optional: Ändere die Methode der **Mitarbeiterauswahl**, um den Prozess nur für bestimmte Mitarbeiter auszuführen. Wähle eine oder mehrere Auswahlen oder Mitarbeiter aus der Liste. Drücke die _Umschalt_- oder _Strg_-Taste, um mehrere Einträge auf einmal auszuwählen.",copy-and-back-up-schedules.md
"5. For **Source Level**, select the scheduling level from which you want to copy or back up data.","5. Als **Quellebene**, wählst Du die Ebene, aus welcher Du Aktivitäten kopieren möchtest.",copy-and-back-up-schedules.md
6. Optional: Check **Clear contents after copying** to delete the existing content from the source level.,6. Optional: Das Setzen der Option **Nach dem Kopieren leeren** löscht den vorhandenen Inhalt aus der Quellebene.,copy-and-back-up-schedules.md
"7. For **Target Level**, select the scheduling level to which you want to copy the data.","7. Als **Zielebene**, wählst Du die Ebene, in welche Du die Daten kopieren möchtest.",copy-and-back-up-schedules.md
"8. Change the **Start Date** for the _Target Level_ to copy data into a different time frame. For example, copy the data of an old schedule to a future period on the same level. In this case _source level_ and _target level_ are the same.","8. Ändere das **Startdatum** für die _Zielebene_, um Daten in einen anderen Zeitraum zu kopieren. Kopiere so z.B. die Daten eines alten Schichtplans in einen zukünftigen Zeitraum auf derselben Ebene. In diesem Fall sind _Quellebene_ und _Zielebene_ gleich.",copy-and-back-up-schedules.md
"9. To start the copy or backup job, click _Ok_{:.doc-button}.","9. Um den Schichtplan zu kopieren, klicke auf _Ok_{:.doc-button}.",copy-and-back-up-schedules.md
"{{ 3 | image: 'Level copy dialog', '50%' }}","{{ 3 | image: 'Level copy dialog', '50%' }}",copy-and-back-up-schedules.md
Schedule 1:1 meetings,1:1-Meetings planen,one-on-ones.md
Generate time slot suggestions for one-on-one meetings that minimize the impact on the coverage of your other activities (Meetings feature).,"Erzeuge Terminvorschläge für 1:1-Meetings, die die Deckung Deiner anderen Aktivitäten möglichst wenig beeinträchtigen (Meetings-Modul).",one-on-ones.md
"In this article, you will learn how to generate time slot suggestions for one-on-one meetings with a minimized impact on the coverage of other existing activities in your schedule.","In diesem Artikel lernst Du, wie Du Terminvorschläge für 1:1-Meetings erzeugst, die die Deckung Deiner anderen Aktivitäten möglichst wenig beeinträchtigen.",one-on-ones.md
New to Meetings? Learn {% link_new the basics | features/scheduling/meetings/meetings-overview.md %} first.,Neu im Meetings-Modul? Lerne zuerst {% link_new die Grundlagen | features/scheduling/meetings/meetings-overview.md %}.,one-on-ones.md
## Generate suggestions for 1:1 meetings,## Terminvorschläge für 1:1-Meetings generieren,one-on-ones.md
"1:1 meetings are meetings between an employee and a meeting host, typically a team leader.","1:1-Meetings sind Besprechungen zwischen einem Mitarbeiter und einem Gastgeber, der typischerweise ein Teamleiter ist.",one-on-ones.md
1. Go to _Plan > Meetings_{:.breadcrumbs}.,1. Gehe zu _Plan > Meetings_{:.breadcrumbs}.,one-on-ones.md
2. Click _Set up_{:.doc-button} in the _1:1 meetings_ card at the top of the page.,2. Klicke auf _Erstellen_{:.doc-button} in der _1:1-Meetings_-Karte oben auf der Seite.,one-on-ones.md
"3. In the _Settings_ section, select the **Planning unit** for which you want to schedule 1:1 meetings. Select an entry from the list, or start typing the planning unit's name to filter the list. After selecting a planning unit, a hint box appears that tells you how many _Presence_ activities in the planning unit are not configured as _Replaceable_.","3. Wähle im Abschnitt _Eckdaten_ die **Planungseinheit** aus, für die Du 1:1-Meetings planen möchtest. Wähle einen Eintrag aus der Liste oder beginne mit der Eingabe des Namens der Planungseinheit, um die Liste zu filtern. Nach der Auswahl einer Planungseinheit erscheint eine Hinweisbox, die Dich darüber informiert, wie viele Aktivitäten vom Typ _Anwesenheit_ in der Planungseinheit nicht als _Ersetzbar_ konfiguriert sind.",one-on-ones.md
"4. For **Activity to schedule**, select the 1:1 meeting activity you want to schedule. The list contains all activities of type _Meeting_ which have been assigned to the planning unit. Select an entry from the list, or start typing the activity's name to filter the list. If you haven't {% link_new created a meeting activity | features/administration/activities.md %} yet, do it now.","4. Wähle bei **Zu planende Aktivität** die 1:1-Meeting-Aktivität aus, die Du planen möchtest. Die Liste enthält alle Aktivitäten vom Typ _Meeting_, die der Planungseinheit zugewiesen sind. Wähle einen Eintrag aus der Liste oder beginne mit der Eingabe des Namens der Aktivität, um die Liste zu filtern. Wenn Du noch keine {% link_new Meeting-Aktivität | features/administration/activities.md %} erstellt hast, tue es jetzt.",one-on-ones.md
"5. Select the **Date range** in which you want to schedule meetings. By default, the date range is set to the next working week (Monday - Sunday) following the current date.","5. Wähle den **Zeitraum** aus, in dem Du Meetings planen möchtest. Standardmäßig ist der Datumsbereich auf die nächste Arbeitswoche (Montag - Sonntag) nach dem aktuellen Datum voreingestellt.",one-on-ones.md
6. Set a **Meeting duration** in minutes. The default value is 60 minutes.,6. Lege eine **Meetinglänge** in Minuten fest. Der Standardwert ist 60 Minuten.,one-on-ones.md
"   {{ 1 | image: 'Settings section', '60%' }}","   {{ 1 | image: 'Abschnitt Eckdaten', '60%' }}",one-on-ones.md
"7. In the _Optional settings_ section, check the checkbox **Ensure a buffer between meetings** if you want to make sure that there is a defined minimum time buffer between meeting sessions for each participant. Choose an appropriate **value** from the drop-down menu below.","7. Aktiviere im Abschnitt _Optionale Eckdaten_ die Checkbox **Plane eine Pause zwischen einzelnen Meetings**, wenn Du sicherstellen möchtest, dass für jeden Teilnehmer ein bestimmter Zeitpuffer zwischen zwei Meetings eingehalten wird. Wähle darunter einen passenden **Wert** aus dem Dropdown.",one-on-ones.md
8. Check the checkbox **Limit the number of meetings per day to maximum** if you want to limit the number of meetings per day for each participant. Enter the maximum **number** of meetings per day below.,"8. Aktiviere die Checkbox **Beschränke die Anzahl der Meetings pro Tag auf maximal**, wenn Du die Anzahl der Meetings pro Tag für jeden Teilnehmer begrenzen möchtest. Gib darunter die maximale **Anzahl** der Meetings pro Tag ein.",one-on-ones.md
