en,es,article
| **End timestamp**       | [Custom-format timestamp](#custom-timestamp-format-with-date-and-time) containing the date and time at which the agent stopped the activity<br>The column appears when you activate **Date and time in one column**.                                                                 | No       |,| **Marca de tiempo de finalización**       | [Formato personalizado de marca de tiempo](#formato-personalizado-de-marca-de-tiempo-con-fecha-y-hora) que incluye la fecha y hora a las que el agente interrumpió la actividad.<br>Esta columna aparece si activas **Fecha y hora en una columna**.                                                                 | No       |,add-csv-integration.md
#### Custom date format,#### Formato de fecha personalizado,add-csv-integration.md
You can configure a custom date format that matches the date in your CSV files. Add the following characters to the **Custom date format** input field:,Puedes configurar un formato de fecha personalizado que corresponda al formato de tu archivo CSV. Añade los siguientes caracteres en el campo **Formato de fecha personalizado**:,add-csv-integration.md
- for the day: **D** (single-digits 1-9) or **DD** (for leading zeros),- Para el día: **D** (cifra única del 1 al 9) o **DD** (para cifra precedida de 0),add-csv-integration.md
- for the month: **M** (single-digits 1-9) or **MM** (for leading zeros),- Para el mes: **M** (cifra única del 1 al 9) o **MM** (para cifra precedida de 0),add-csv-integration.md
- for the year: **YY** or **YYYY**,- Para el año: **YY**o **YYYY**,add-csv-integration.md
All other characters are interpreted as separators.,Los demás caracteres se interpretan como separadores.,add-csv-integration.md
Examples:,Ejemplos:,add-csv-integration.md
| Date     | Custom date format |,| Fecha     | Formato de fecha personalizado |,add-csv-integration.md
| -------- | ------------------ |,| -------- | ------------------ |,add-csv-integration.md
"| 13/1,22  | D/M,YY             |","| 13/1,22  | D/M,YY             |",add-csv-integration.md
| 010122   | DDMMYY             |,| 010122   | DDMMYY             |,add-csv-integration.md
| 13012022 | DDMMYYYY           |,| 13012022 | DDMMYYYY           |,add-csv-integration.md
#### Custom timestamp format with date and time,#### Formato personalizado de marca de tiempo con fecha y hora,add-csv-integration.md
"To add a custom timestamp format, activate the **Date and time in one column** option.","Para añadir un formato personalizado de marca de tiempo, activa la opción **Fecha y hora en una columna**.",add-csv-integration.md
"In addition to the [custom date format](#custom-date-format), you must set the time format using lowercase letters:","Además del [formato de fecha personalizado](#formato-de-fecha-personalizado), debes configurar el formato de hora con minúsculas:",add-csv-integration.md
- for hours: **h** (single-digits 1-9) or **hh** (for leading zeros),- Para la hora: **h** (cifra única del 1 al 9) o **hh** (para cifra precedida de 0),add-csv-integration.md
- for minutes: **m** (single-digits 1-9) or **mm** (for leading zeros),- Para los minutos: **m** (cifra única del 1 al 9) o **mm** (para cifra precedida de 0),add-csv-integration.md
- (optional) for seconds: **s** (single-digits 1-9) or **ss** (for leading zeros),- (Opcional) Para los segundos: **s** (cifra única del 1 al 9) o **ss** (para cifra precedida de 0),add-csv-integration.md
Examples:,Ejemplos:,add-csv-integration.md
| Date and time  | Timestamp format |,| Fecha y hora  | Formato de marca de tiempo |,add-csv-integration.md
| -------------- | ---------------- |,| -------------- | ---------------- |,add-csv-integration.md
"| 13/1,22 9:15:8 | D/M,YY h:m:s     |","| 13/1,22 9:15:8 | D/M,YY h:m:s     |",add-csv-integration.md
| 010122 09-15   | DDMMYY hh-mm     |,| 010122 09-15   | DDMMYY hh-mm     |,add-csv-integration.md
### Map the columns (SQL query),### Asignar las columnas (consulta SQL),add-csv-integration.md
"For most CSV files, you can use the default mapping via the drop-down menus. If your external system generates CSV files that do not contain certain columns required by the default mapping form (e.g. if they require additional calculations) or if they contain unsupported formats, the [default mapping method](#map-the-columns) may not work for you. In this case, you can map the columns using an SQL query (SQLite). This allows you to convert total values into averages or calculate a call volume from multiple columns, for example. This mapping method is only available for contact data. It cannot be used for agent status data.","Para la mayoría de los archivos CSV puedes utilizar la asignación predeterminada mediante los menús desplegables. Si tu sistema externo genera archivos CSV que no contienen ciertas columnas requeridas para la asignación predeterminada (p.&nbsp;ej., si requieren cálculos adicionales) o si contienen formatos no compatibles, puede ser que el [método de asignación predeterminado](#asignar-las-columnas) no sea el adecuado para ti. En este caso, puedes usar una solicitud SQL (SQLite) para asignar las columnas. Esto te permite convertir valores totales en promedios, o calcular un volumen de llamadas a partir de varias columnas, entre otras opciones. Este método de asignación solo está disponible para datos de contacto. No se puede utilizar para datos de los estados de los agentes.",add-csv-integration.md
#### Requirements,#### Requisitos,add-csv-integration.md
Consider the following requirements for writing an SQL query for column mapping:,Ten en cuenta los siguientes requisitos a la hora de escribir una consulta SQL para la asignación de columnas:,add-csv-integration.md
- Use `uploaded_file` as table name.,- Usa `uploaded_file` como nombre de la tabla.,add-csv-integration.md
- Use lowercase for column names.,- Usa minúsculas para los nombres de las columnas.,add-csv-integration.md
- Use datetime as data type for the timestamp column (formatted as `YYYY-MM-DD hh:mm:ss`).,- Usa el tipo de datos datetime para la columna timestamp (en formato `YYYY-MM-DD hh:mm:ss`).,add-csv-integration.md
- Use the [SQLite](https://www.sqlite.org) query syntax.,- Utiliza la sintaxis de consulta de [SQLite](https://www.sqlite.org).,add-csv-integration.md
"The [SQLite](https://www.sqlite.org) SQL query supports mathematical operations, data conversions, and column aliases (to map different column names). You can find out more about the limitations regarding the following items on sqlite.org:","La consulta SQL de [SQLite](https://www.sqlite.org) admite operaciones matemáticas, conversiones de datos y alias de columnas (para asignar diferentes nombres de columna). Puede leer más sobre las limitaciones con respecto a los siguientes elementos en sqlite.org:",add-csv-integration.md
- [numeric precision](https://www.sqlite.org/datatype3.html),- [precisión numérica](https://www.sqlite.org/datatype3.html),add-csv-integration.md
- [math functions](https://www.sqlite.org/lang_mathfunc.html),- [funciones matemáticas](https://www.sqlite.org/lang_mathfunc.html),add-csv-integration.md
- [implicit data conversions](https://www.sqlite.org/datatype3.html#affinity),- [conversiones de datos implícitas](https://www.sqlite.org/datatype3.html#affinity),add-csv-integration.md
- [date and time functions](https://www.sqlite.org/lang_datefunc.html),- [funciones de fecha y hora](https://www.sqlite.org/lang_datefunc.html),add-csv-integration.md
- [string manipulation](https://www.sqlite.org/lang_corefunc.html#string_functions),- [manipulación de cadenas](https://www.sqlite.org/lang_corefunc.html#string_functions),add-csv-integration.md
"To map the columns via SQL query, proceed as follows:","Para asignar las columnas mediante una consulta SQL, sigue estos pasos:",add-csv-integration.md
> Changing the mapping method will overwrite an existing CSV schema,> Cambiar el método de asignación sobrescribirá el esquema CSV existente,add-csv-integration.md
>,>,add-csv-integration.md
"> If you have already created a CSV schema, changing the mapping method and saving the new schema will overwrite the previous one. You cannot restore a CSV schema once it's overwritten.","> Si ya has creado un esquema CSV, cambiar el método de asignación y guardar el nuevo esquema sobrescribirá el anterior. No se puede restaurar un esquema de CSV una vez que ha sido sobrescrito.",add-csv-integration.md
1. Activate the **Use SQL query to map columns** toggle in the upper right of the column mapping page.,1. Activa el interruptor **Usar una consulta SQL para asignar las columnas** en la parte superior derecha de la página de asignación de columnas.,add-csv-integration.md
2. Enter an SQL query (SQLite) into the text field. Tip: Copy and paste the sample queries below according to your needs.,2. Introduce una consulta SQL (SQLite) en el campo de texto. Sugerencia: copia y pega las siguientes consultas de muestra según las necesites.,add-csv-integration.md
"If you want to upload both interval-based and contact-based contact data, you need to add a separate integration and write a separate SQL query for each.","Si quieres subir datos de contacto basados tanto en intervalos como en contactos, necesitas crear una integración y escribir una consulta SQL para cada tipo de datos.",add-csv-integration.md
### Columns required in SQL query,### Columnas requeridas en la consulta SQL,add-csv-integration.md
The following table gives you an overview of the columns required in the SQL query:,La siguiente tabla ofrece un resumen de las columnas requeridas en la consulta SQL:,add-csv-integration.md
"> Depending on your [WFM plan](https://www.injixo.com/pricing/), not all channels for the injixo source queue might be available to you.","> Dependiendo de tu [plan de WFM](https://www.injixo.com/pricing/), puede ser que no todos los canales de la cola de origen de injixo estén disponibles para ti.",add-csv-integration.md
| Column name | Data type | Required | Details                                                                                                                                                                                                  |,| Nombre de la columna | Tipo de datos | Requerido | Detalles                                                                                                                                                                                                  |,add-csv-integration.md
| ----------- | --------- | -------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,| ----------- | --------- | -------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,add-csv-integration.md
| queue       | String    | Yes      | Identifier for the queue                                                                                                                                                                                 |,| queue       | Cadena    | Sí      | Identificador para la cola                                                                                                                                                                                 |,add-csv-integration.md
| timestamp   | Datetime  | Yes      | Start of the interval in the format YYYY-MM-DD hh:mm:ss                                                                                                                                                  |,| timestamp   | Datetime  | Sí      | Inicio del intervalo en formato YYYY-MM-DD hh:mm:ss                                                                                                                                                  |,add-csv-integration.md
| offered     | Integer   | Yes      | Amount of contacts (e.g calls or emails) in the interval                                                                                                                                                 |,| offered     | Número entero   | Sí      | Número de contactos (como llamadas o correos) en el intervalo                                                                                                                                                 |,add-csv-integration.md
| answered    | Integer   | Yes      | interval-based: Amount of contacts that have been handled in the interval<br>contact-based: The value 1 indicates that the contact has been handled. The value 0 indicates that it has not been handled. |,| answered    | Número entero   | Sí      | Basado en intervalos: número de contactos gestionados en el intervalo<br>Basado en contactos: el valor 1 indica que se ha gestionado el contacto. El valor 0 indica que no se ha gestionado el contacto. |,add-csv-integration.md
| aht         | Float     | No       | Average handling time for all contacts in the interval                                                                                                                                                   |,| aht         | Float     | No       | Tiempo medio de operación de todos los contactos en el intervalo                                                                                                                                                   |,add-csv-integration.md
| duration    | Integer   | Yes      | Total handling time of a single contact                                                                                                                                                                  |,| duration    | Número entero   | Sí      | Tiempo total de operación de un contacto concreto                                                                                                                                                                  |,add-csv-integration.md
"| channel     | String    | Yes      | Identifier for the channel of the injixo source queue<br>Allowed values: calls, chats, emails, social_media, documents, cases                                                                            |","| channel     | Cadena    | Sí      | Identificador del canal de la cola origen de injixo<br>Valores aceptados: calls, chats, emails, social_media, documents, cases                                                                            |",add-csv-integration.md
#### Basic sample queries,#### Consultas de muestra básicas,add-csv-integration.md
Interval-based contact data:,Datos de contacto basados en intervalos:,add-csv-integration.md
```sql,```sql,add-csv-integration.md
SELECT,SELECT,add-csv-integration.md
"   queue, timestamp,","   queue, timestamp,",add-csv-integration.md
"   offered, handled, aht,","   offered, handled, aht,",add-csv-integration.md
   channel,   channel,add-csv-integration.md
FROM uploaded_file,FROM uploaded_file,add-csv-integration.md
```,```,add-csv-integration.md
Contact-based contact data:,Datos de contacto basados en intervalos:,add-csv-integration.md
```sql,```sql,add-csv-integration.md
SELECT,SELECT,add-csv-integration.md
"   queue, timestamp,","   queue, timestamp,",add-csv-integration.md
"   offered, handled, duration,","   offered, handled, duration,",add-csv-integration.md
   channel,   channel,add-csv-integration.md
FROM uploaded_file,FROM uploaded_file,add-csv-integration.md
```,```,add-csv-integration.md
The following advanced examples show how to apply mathematical operations and SQLite functions.,Los siguientes ejemplos avanzados muestran cómo aplicar operaciones matemáticas y funciones de SQLite.,add-csv-integration.md
#### Advanced sample query 1,#### Consulta de muestra avanzada 1,add-csv-integration.md
- Divide HandleTime by HandledCalls for the required average handling time (AHT).,- Divide HandleTime por HandledCalls para obtener el tiempo medio de operación (TMO) requerido.,add-csv-integration.md
- Combine Date and Time using SUBSTR for the required YYYY-MM-DD HH:MM:SS timestamp format.,- Combina Date y Time usando SUBSTR para obtener el formato de marca de tiempo requerido YYYYY-MM-DD HH:MM:SS.,add-csv-integration.md
|   Queue    |    Date    | Time  | Received | HandledCalls | Aband | HandleTime | HoldTime |,|   Queue    |    Date    | Time  | Received | HandledCalls | Aband | HandleTime | HoldTime |,add-csv-integration.md
| :--------: | :--------: | :---: | :------: | :----------: | :---: | :--------: | :------: |,| :--------: | :--------: | :---: | :------: | :----------: | :---: | :--------: | :------: |,add-csv-integration.md
| test queue | 06/03/2023 | 07:30 |    5     |      5       |   -   |   1324.6   |    -     |,| test queue | 06/03/2023 | 07:30 |    5     |      5       |   -   |   1324.6   |    -     |,add-csv-integration.md
| test queue | 06/03/2023 | 08:00 |    2     |      2       |   -   |    1548    |    -     |,| test queue | 06/03/2023 | 08:00 |    2     |      2       |   -   |    1548    |    -     |,add-csv-integration.md
```,```,add-csv-integration.md
SELECT,SELECT,add-csv-integration.md
"  Queue as queue,","  Queue as queue,",add-csv-integration.md
"  SUBSTR(Date, 7, 4) || '-'|| SUBSTR(Date, 1, 2) || '-' || SUBSTR(Date, 4,2) || ' ' || Time || ':00' as timestamp,","  SUBSTR(Date, 7, 4) || '-'|| SUBSTR(Date, 1, 2) || '-' || SUBSTR(Date, 4,2) || ' ' || Time || ':00' as timestamp,",add-csv-integration.md
"  Received as offered,","  Received as offered,",add-csv-integration.md
"  HandledCalls as handled,","  HandledCalls as handled,",add-csv-integration.md
"  HandleTime/HandledCalls as aht,","  HandleTime/HandledCalls as aht,",add-csv-integration.md
  'chats' as channel,  'chats' as channel,add-csv-integration.md
FROM uploaded_file,FROM uploaded_file,add-csv-integration.md
```,```,add-csv-integration.md
#### Advanced sample query 2,#### Consulta de muestra avanzada 2,add-csv-integration.md
- Use SQLite's `date('now')` to get the current date and combine this with the time from the file.,- Usa el `date('now')` de SQLite para obtener la fecha actual y combínala con la hora del archivo.,add-csv-integration.md
- Strip decimals and convert them to integers.,- Elimina los decimales y conviértelos en números enteros.,add-csv-integration.md
- Combine Date and Time using SUBSTR for the required YYYY-MM-DD HH:MM:SS timestamp format.,- Combina Date y Time usando SUBSTR para obtener el formato de marca de tiempo requerido YYYYY-MM-DD HH:MM:SS.,add-csv-integration.md
"In this example, the column headers contain blank characters.","En este ejemplo, los encabezados de columna contienen caracteres en blanco.",add-csv-integration.md
| Queue Name | Hour in hh:mm | Offered Calls | Handled Calls | Average Handling Time       |,| Queue Name | Hour in hh:mm | Offered Calls | Handled Calls | Average Handling Time       |,add-csv-integration.md
| :--------: | :-----------: | :-----------: | :-----------: | :-------------------------: |,| :--------: | :-----------: | :-----------: | :-----------: | :-------------------------: |,add-csv-integration.md
| demo queue |     07:00     |      3.4      |      2.9      |          00:05:30           |,| demo queue |     07:00     |      3.4      |      2.9      |          00:05:30           |,add-csv-integration.md
| demo queue |     08:30     |      5.7      |      5.2      |          00:10:15           |,| demo queue |     08:30     |      5.7      |      5.2      |          00:10:15           |,add-csv-integration.md
You can replace the header row by using the Preprocessing options of the integration:,Puedes reemplazar la fila de encabezado utilizando las opciones de preprocesamiento de la integración:,add-csv-integration.md
- Skip first 1 row(s): Removes the original header,- Omitir la(s) primera(s) 1 fila(s): elimina el encabezado original.,add-csv-integration.md
- Add header row: Adds column headers with letters,- Añadir fila de encabezado: añade encabezados de columna con letras,add-csv-integration.md
```,```,add-csv-integration.md
 SELECT, SELECT,add-csv-integration.md
"   A as queue,","   A as queue,",add-csv-integration.md
"   DATE('now')||' '|| ""B""||':00' as timestamp,","   DATE('now')||' '|| ""B""||':00' as timestamp,",add-csv-integration.md
"   FLOOR(C) as offered,","   FLOOR(C) as offered,",add-csv-integration.md
"   FLOOR (D) as handled,","   FLOOR (D) as handled,",add-csv-integration.md
"   (CAST(substr(E, 1, 1) AS INTEGER) * 3600) +","   (CAST(substr(E, 1, 1) AS INTEGER) * 3600) +",add-csv-integration.md
"   (CAST(substr(E, 3, 2) AS INTEGER) * 60) +","   (CAST(substr(E, 3, 2) AS INTEGER) * 60) +",add-csv-integration.md
"   CAST(substr(E, 6, 2) AS INTEGER) as aht,","   CAST(substr(E, 6, 2) AS INTEGER) as aht,",add-csv-integration.md
   'calls' as channel,   'calls' as channel,add-csv-integration.md
FROM uploaded_file,FROM uploaded_file,add-csv-integration.md
```,```,add-csv-integration.md
"If you do not replace the header row, refer to the actual column names using double quotes:","Si no reemplazas la fila de encabezado, usa comillas dobles para referirte a los nombres de columna reales:",add-csv-integration.md
```,```,add-csv-integration.md
 SELECT, SELECT,add-csv-integration.md
"   ""Queue Name"" as queue,","   ""Queue Name"" as queue,",add-csv-integration.md
"   DATE('now')||' '|| ""Hour in hh:mm""||':00' as timestamp,","   DATE('now')||' '|| ""Hour in hh:mm""||':00' as timestamp,",add-csv-integration.md
"   FLOOR(""Offered Calls"") as offered,","   FLOOR(""Offered Calls"") as offered,",add-csv-integration.md
"   FLOOR (""Handled Calls"") as handled,","   FLOOR (""Handled Calls"") as handled,",add-csv-integration.md
"   (CAST(substr(""Average Handling Time"", 1, 1) AS INTEGER) * 3600) +","   (CAST(substr(""Average Handling Time"", 1, 1) AS INTEGER) * 3600) +",add-csv-integration.md
"   (CAST(substr(""Average Handling Time"", 3, 2) AS INTEGER) * 60) +","   (CAST(substr(""Average Handling Time"", 3, 2) AS INTEGER) * 60) +",add-csv-integration.md
"   CAST(substr(""Average Handling Time"", 6, 2) AS INTEGER) as aht,","   CAST(substr(""Average Handling Time"", 6, 2) AS INTEGER) as aht,",add-csv-integration.md
   'calls' as channel,   'calls' as channel,add-csv-integration.md
FROM uploaded_file,FROM uploaded_file,add-csv-integration.md
```,```,add-csv-integration.md
#### Advanced sample query 3,#### Consulta de muestra avanzada 3,add-csv-integration.md
- Calculate the handled calls by subtracting AbandonedCalls from OfferedCalls.,- Resta AbandonedCalls a OfferedCalls para obtener las llamadas atendidas.,add-csv-integration.md
- Transform the special formatted Start string into the required YYYY-MM-DD HH:MM:SS timestamp format.,- Transforma la cadena de inicio con formato especial en el formato de marca de tiempo requerido YYYY-MM-DD HH:MM:SS.,add-csv-integration.md
|  Name  |       Start       | OfferedCalls | AbandonedCalls | AverageHandlingTime |,|  Name  |       Start       | OfferedCalls | AbandonedCalls | AverageHandlingTime |,add-csv-integration.md
| :----: | :---------------: | :----------: | :------------: | :-----------------: |,| :----: | :---------------: | :----------: | :------------: | :-----------------: |,add-csv-integration.md
| queue1 | 20230613 15:30:00 |      10      |       2        |         300         |,| queue1 | 20230613 15:30:00 |      10      |       2        |         300         |,add-csv-integration.md
| queue2 | 20230613 15:35:00 |      15      |       3        |         450         |,| queue2 | 20230613 15:35:00 |      15      |       3        |         450         |,add-csv-integration.md
| queue3 | 20230613 15:40:00 |      12      |       2        |         350         |,| queue3 | 20230613 15:40:00 |      12      |       2        |         350         |,add-csv-integration.md
```,```,add-csv-integration.md
SELECT,SELECT,add-csv-integration.md
"  Name as queue,","  Name as queue,",add-csv-integration.md
"    substr(Start, 1, 4) || '-' ||","    substr(Start, 1, 4) || '-' ||",add-csv-integration.md
"    substr(Start, 5, 2) || '-' ||","    substr(Start, 5, 2) || '-' ||",add-csv-integration.md
"    substr(Start, 7, 2) || ' ' ||","    substr(Start, 7, 2) || ' ' ||",add-csv-integration.md
"    substr(Start, 10, 8) as timestamp,","    substr(Start, 10, 8) as timestamp,",add-csv-integration.md
"  Offered as offered,","  Offered as offered,",add-csv-integration.md
"  (Offered - Abandoned) as handled,","  (Offered - Abandoned) as handled,",add-csv-integration.md
"  AverageHandlingTime as aht,","  AverageHandlingTime as aht,",add-csv-integration.md
  'calls' as channel,  'calls' as channel,add-csv-integration.md
FROM uploaded_file,FROM uploaded_file,add-csv-integration.md
```,```,add-csv-integration.md
## Edit a CSV schema,## Editar un esquema CSV,add-csv-integration.md
"When the data structure of a CSV file changes, you need to edit the CSV schema of a CSV integration.","Cuando cambia la estructura del archivo CSV, tienes que modificar el el esquema CSV de la integración.",add-csv-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Ve a _Account > Integraciones_{:.breadcrumbs}.,add-csv-integration.md
2. Click the {% icon pencil %} next to the integration you want to edit.,2. Haz clic en el {% icon pencil %} junto a la integración que quieras modificar.,add-csv-integration.md
3. Click _Edit CSV schema_{:.doc-button}.,3. Haz clic en _Editar el esquema CSV_{:.doc-button}.,add-csv-integration.md
"   You can change options in the **Setup** section. To change the preprocessing options, click _Re-upload file_{:.doc-button} and upload a modified or the original CSV file.","   Puedes modificar las opciones en la sección **Configuración**. Para modificar las opciones de preprocesamiento, haz clic en _Volver a cargar el fichero_{:.doc-button} y carga un archivo CSV modificado o el original.",add-csv-integration.md
"4. Click _Map the columns_{:.doc-button}. You can change your column mapping, if needed.","4. Haz clic en _Asignar las columnas_{:.doc-button}. Si es necesario, puedes modificar cómo se asignan las columnas.",add-csv-integration.md
5. Click _Save schema_{:.doc-button}.,5. Haz clic en _Guardar esquema_{:.doc-button}.,add-csv-integration.md
> Layout of data cannot be changed,> La disposición de los datos no puede ser modificada,add-csv-integration.md
>,>,add-csv-integration.md
"> When you edit a CSV schema, you cannot change the previously set layout of data (i.e. contact-based or interval-based).",> Cuando editas un esquema CSV no puedes modificar la disposición de los datos configurada anteriormente (basados en contactos o basados en intervalos).,add-csv-integration.md
## Example mappings,## Ejemplos de asignación de columnas,add-csv-integration.md
"In this section, you can find examples for CSV files and related mappings. You can use the examples as templates for your own CSV files.",En esta sección encontrarás ejemplos de archivos CSV y las asignaciones correspondientes. Puedes usar estos ejemplos como plantillas para tus propios archivos CSV.,add-csv-integration.md
### Contact data (interval-based),### Datos de contacto (basados en intervalos),add-csv-integration.md
CSV file:,Archivo CSV,add-csv-integration.md
```,```,add-csv-integration.md
Queue;Date;Time;IncomingCalls;AnsweredCalls;AHT,Queue;Date;Time;IncomingCalls;AnsweredCalls;AHT,add-csv-integration.md
My Inbound Queue;25/05/2020;08:00;15;14;230,My Inbound Queue;25/05/2020;08:00;15;14;230,add-csv-integration.md
My Inbound Queue;25/05/2020;08:15;16;15;210,My Inbound Queue;25/05/2020;08:15;16;15;210,add-csv-integration.md
My Inbound Queue;25/05/2020;08:30;20;18;235,My Inbound Queue;25/05/2020;08:30;20;18;235,add-csv-integration.md
My Inbound Queue;25/05/2020;08:45;18;15;215,My Inbound Queue;25/05/2020;08:45;18;15;215,add-csv-integration.md
```,```,add-csv-integration.md
<style>,<style>,add-csv-integration.md
table {,table {,add-csv-integration.md
   margin-left: 0px;,   margin-left: 0px;,add-csv-integration.md
},},add-csv-integration.md
</style>,</style>,add-csv-integration.md
Column mapping:,Asignación de columnas,add-csv-integration.md
| Column      | Mapped column/value |,| Columna      | Columna asignada/valor |,add-csv-integration.md
| ----------- | ------------------- |,| ----------- | ------------------- |,add-csv-integration.md
| Queue name  | Queue               |,| Nombre de la cola  | Queue               |,add-csv-integration.md
| Date        | Date                |,| Date        | Date                |,add-csv-integration.md
| Date format | dd/mm/yyyy          |,| Formato de fecha | dd/mm/yyyy          |,add-csv-integration.md
| Time        | Time                |,| Time        | Time                |,add-csv-integration.md
| Time format | hh:mm               |,| Formato de hora |    hh:mm           |,add-csv-integration.md
| Offered     | IncomingCalls       |,| Offered     | IncomingCalls       |,add-csv-integration.md
| Handled     | AnsweredCalls       |,| Atendidos     | AnsweredCalls       |,add-csv-integration.md
| AHT         | AHT                 |,| AHT         | AHT                 |,add-csv-integration.md
| AHT format  | Seconds             |,| Formato de TMO  | Seconds             |,add-csv-integration.md
"This example does not include a Channel column. In the CSV schema configuration, select the **Channel** option. To set the channel for e.g. calls, select **Calls** from the drop-down menu.","Este ejemplo no incluye columna para el canal. En la configuración del esquema CSV, selecciona la opción **Canal**. Para configurar el canal para, p.&nbsp;ej., llamadas, selecciona **Llamadas** en el menú desplegable.",add-csv-integration.md
### Contact data (contact-based),### Datos de contacto (basados en contactos),add-csv-integration.md
CSV file:,Archivo CSV,add-csv-integration.md
```,```,add-csv-integration.md
Queue;Date;Time;Offered;Answered;Duration,Queue;Date;Time;Offered;Answered;Duration,add-csv-integration.md
My Inbound Queue;25/05/2020;08:00;1;1;100,My Inbound Queue;25/05/2020;08:00;1;1;100,add-csv-integration.md
My Inbound Queue;25/05/2020;08:03;1;0;0,My Inbound Queue;25/05/2020;08:03;1;0;0,add-csv-integration.md
My Inbound Queue;25/05/2020;08:04;1;1;120,My Inbound Queue;25/05/2020;08:04;1;1;120,add-csv-integration.md
My Inbound Queue;25/05/2020;08:07;1;0;0,My Inbound Queue;25/05/2020;08:07;1;0;0,add-csv-integration.md
```,```,add-csv-integration.md
Column mapping:,Asignación de columnas,add-csv-integration.md
| Column      | Mapped column/value |,| Columna      | Columna asignada/valor |,add-csv-integration.md
| ----------- | ------------------- |,| ----------- | ------------------- |,add-csv-integration.md
| Queue name  | Queue               |,| Nombre de la cola  | Queue               |,add-csv-integration.md
| Date        | Date                |,| Fecha        | Date                |,add-csv-integration.md
| Date format | dd/mm/yyyy          |,| Formato de fecha | dd/mm/yyyy          |,add-csv-integration.md
| Time        | Time                |,| Hora        | Time                |,add-csv-integration.md
| Time format | hh:mm               |,| Formato de hora | hh:mm               |,add-csv-integration.md
| Offered     | Offered             |,| Entrantes     | Offered             |,add-csv-integration.md
| Handled     | Answered            |,| Atendidos    | Answered            |,add-csv-integration.md
| Duration    | Duration            |,| Duración    | Duration            |,add-csv-integration.md
"This example does not include a Channel column. In the CSV schema configuration, select the **Channel** option. To set the channel, e.g. for calls, select **Calls** from the drop-down menu.","Este ejemplo no incluye columna para el canal. En la configuración del esquema CSV, selecciona la opción **Canal**. Para configurar el canal para, p.&nbsp;ej., llamadas, selecciona **Llamadas** en el menú desplegable.",add-csv-integration.md
### Agent status,### Estados de los agentes,add-csv-integration.md
CSV file:,Archivo CSV,add-csv-integration.md
```,```,add-csv-integration.md
StartDate;StartTime;AgentID;AgentActivityID,StartDate;StartTime;AgentID;AgentActivityID,add-csv-integration.md
2022-04-22;08:34:29;816;1013;,2022-04-22;08:34:29;816;1013;,add-csv-integration.md
2022-04-22;08:34:42;816;1015;,2022-04-22;08:34:42;816;1015;,add-csv-integration.md
2022-04-22;08:34:48;816;1015;,2022-04-22;08:34:48;816;1015;,add-csv-integration.md
2022-04-22;08:39:11;816;1015;,2022-04-22;08:39:11;816;1015;,add-csv-integration.md
```,```,add-csv-integration.md
Column mapping:,Asignación de columnas,add-csv-integration.md
| Column              | Mapped column/value |,| Columna              | Columna asignada/valor |,add-csv-integration.md
| ------------------- | ------------------- |,| ------------------- | ------------------- |,add-csv-integration.md
| Agent identifier    | AgentID             |,| Identificador de agente    | AgentID             |,add-csv-integration.md
| Activity identifier | AgentActivityID     |,| Identificador de actividad | AgentActivityID     |,add-csv-integration.md
| Start date          | StartDate           |,| Fecha de inicio          | StartDate           |,add-csv-integration.md
| Date format         | yyyy-mm-dd          |,| Formato de fecha         | yyyy-mm-dd          |,add-csv-integration.md
| Start time          | StartTime           |,| Hora de inicio          | StartTime           |,add-csv-integration.md
| Time format         | hh:mm:ss            |,| Formato de hora         | hh:mm:ss            |,add-csv-integration.md
## Import CSV files,## Importar archivos CSV,add-csv-integration.md
"Once you saved your CSV integration, you can start importing CSV files.","Una vez hayas guardado tu integración de archivos CSV, puedes empezar a importar archivos CSV.",add-csv-integration.md
The following file encodings are supported:,injixo acepta los siguientes formatos de codificación de archivos:,add-csv-integration.md
- UTF-8,- UTF-8,add-csv-integration.md
- ISO-8859-1/Latin-1,- ISO-8859-1/Latin-1,add-csv-integration.md
- ISO-8859-9,- ISO-8859-9,add-csv-integration.md
- Windows-1252,- Windows-1252,add-csv-integration.md
Use UTF-8 to avoid generic error messages.,Usa UTF-8 para evitar mensajes de error genéricos.,add-csv-integration.md
### Automatic file import,### Importación automática de archivos,add-csv-integration.md
"[Configure a CSV integration](#configure-a-new-csv-integration) and connect injixo Cloud Link. injixo Cloud Link will upload new data to injixo. By default, every time you save a new CSV file in the injixo Cloud Link installation directory, a new upload will start. You can change the default installation directory (C:\Program Files\injixo Cloud Link) during the installation.","[Configura una integración de archivos CSV](#configurar-una-nueva-integración-de-archivos-csv) y conecta injixo Cloud Link. injixo Cloud Link subirá nuevos datos a injixo. Por defecto, cada vez que guardas un nuevo archivo CSV en la carpeta de instalación de injixo Cloud Link, comienza una nueva importación. El directorio por defecto es C:\\Program Files\\injixo Cloud Link, pero puedes modificarlo durante la instalación de injixo Cloud Link.",add-csv-integration.md
