en,fr,article
5. Click _Save integration_{:.doc-button}.,5. Cliquez sur _Sauvegarder l’intégration_{:.doc-button}.,add-sikom-integration.md
The integration starts importing data into injixo.,L’intégration commence à importer les données dans injixo.,add-sikom-integration.md
## Edit a Sikom integration,## Modifier une intégration Sikom,add-sikom-integration.md
"In case any of the integration details change, e.g. database server credentials, you can edit and update the configuration of your integration. The data import will continue using the updated configuration.","Si les détails de l’intégration changent, par exemple les identifiants du serveur de base de données, vous pouvez modifier et mettre à jour la configuration de votre intégration. L’import de données continuera en utilisant la configuration mise à jour.",add-sikom-integration.md
"A Zendesk integration is a cloud integration that imports contact volumes for email, web forms, chat, calls, and social messaging from Zendesk Support and Zendesk Talk.","L’intégration Zendesk est une intégration cloud permettant d’importer les volumes de contact pour les e-mails, les formulaires web, le Chat, et les messageries de réseaux sociaux de Zendesk Support et Zendesk Talk.",add-zendesk-integration.md
The integration only imports incoming calls (but no outbound calls). The average handle time (AHT) data is only available for Zendesk Talk.,L’intégration importe uniquement les appels entrants (mais pas les appels sortants). Les données de temps moyen de traitement (TMT) sont uniquement disponibles pour Zendesk Talk.,add-zendesk-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,Vous débutez avec les intégrations&nbsp;? Commencez avec les {% link_new concepts fondamentaux | features/acd-integration/cloud/how-integrations-work.md %}.,add-zendesk-integration.md
## Add a Zendesk integration,## Ajouter une intégration Zendesk,add-zendesk-integration.md
"In your Zendesk account, create an API token for a user with [Administrative Permissions](https://support.zendesk.com/hc/en-us/articles/4408843355290-Zendesk-for-Salesforce-integration-Required-profile-permissions).","Dans votre compte Zendesk, créez un jeton API pour un utilisateur disposant de [droits admin](https://support.zendesk.com/hc/fr/articles/4408843355290-Int%C3%A9gration-Zendesk-pour-Salesforce-Permissions-de-profil-requises).",add-zendesk-integration.md
"To add a new Zendesk integration in injixo, follow the steps below:","Pour ajouter une intégration Zendesk dans injixo, suivez les étapes ci-dessous&nbsp;:",add-zendesk-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Accédez à _Account > Intégrations_{:.breadcrumbs}.,add-zendesk-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Si une intégration est déjà présente, cliquez sur _Ajouter une intégration_{:.doc-button}.",add-zendesk-integration.md
"3. In the Zendesk tile, click _Add integration_{:.doc-button}.","3. Dans la section **Zendesk**, cliquez sur _Ajouter cette intégration_{:.doc-button}.",add-zendesk-integration.md
4. Enter a unique name for the new integration that identifies the data source.,4. Entrez un nom unique permettant d’identifier la source de données.,add-zendesk-integration.md
"5. In the **User crendentials** section, enter your Zendesk crendentials:","5. Dans la section **Identifiants de l’utilisateur**, entrez vos identifiants Zendesk&nbsp;:",add-zendesk-integration.md
"   * Enter your full Zendesk domain name including the subdomain, e.g. example.zendesk.com.","   * Saisissez votre nom de domaine Zendesk complet, en incluant le sous-domaine, par exemple&nbsp;: exemple.zendesk.com.",add-zendesk-integration.md
   * Enter your Zendesk username.,   * Saisissez votre nom d’utilisateur Zendesk.,add-zendesk-integration.md
   * Enter your API token.,   * Entrez votre jeton API.,add-zendesk-integration.md
"6. In the **Configuration** section, select a grouping strategy. Choose either the **IVR** or the **Phone number** option. The strategy determines how injixo [names the resulting source queues](#queue-names-for-zendesk-talk) for Zendesk Talk views. The IVR option uses the destination group. The Phone number option uses the receiving number to generate the source queue name. A call without the relevant information will appear as ungrouped. Source queues for Zendesk Support are not affected.","6. Dans la section **Configuration**, choisissez une stratégie de regroupement. Sélectionnez l’option **SVI (Serveur vocal interactif)** ou **Numéro de téléphone**. La stratégie permet de déterminer le nom donné par injixo aux [files d’attente source créées](#noms-des-files-dattente-pour-zendesk-talk) pour les vues Zendesk Talk. L’option SVI utilise le groupe de destination. L’option Numéro de téléphone utilise le numéro de réception pour générer le nom de la file d’attente. Un appel sans les informations nécessaires apparaîtra comme non groupé. Les files d’attente source pour Zendesk Support ne sont pas affectées.",add-zendesk-integration.md
   > You cannot change the grouping strategy once you have saved the injixo integration configuration.,"   > Une fois la configuration de l’intégration sauvegardée dans injixo, vous ne pourrez plus modifier la stratégie de regroupement.",add-zendesk-integration.md
7. Click _Save integration_{:.doc-button}.,7. Cliquez sur _Sauvegarder l’intégration_{:.doc-button}.,add-zendesk-integration.md
## Zendesk data in injixo,## Données Zendesk dans injixo,add-zendesk-integration.md
### Tickets vs. contact events,### Tickets et événements de contact,add-zendesk-integration.md
"In Zendesk, a ticket usually contains multiple interactions between your team members and your customers through the different communication channels.","Dans Zendesk, un ticket contient généralement plusieurs interactions entre les membres de votre équipe et vos clients via différents canaux de communication.",add-zendesk-integration.md
Every interaction represents one task that your team members have to handle. An interaction can be a new ticket or a change to an existing ticket.,Chaque interaction représente une tâche à prendre en charge par les membres de votre équipe. Une interaction peut être un nouveau ticket ou une modification d’un ticket existant.,add-zendesk-integration.md
"Example: A user creates a ticket by writing an email. The team member then replies and closes the ticket. Two days later, the user sends another email replying to the team members's email, which reopens the ticket. In injixo, this would be counted as two emails, although happening on a single ticket.","Exemple&nbsp;: un utilisateur ouvre un ticket en créant un e-mail.  Le membre de l’équipe répond ensuite et ferme le ticket. Deux jours plus tard, l’utilisateur envoie un autre e-mail pour répondre au membre de l’équipe, ce qui rouvre le ticket. Dans injixo, deux e-mails sont comptés, bien qu’ils fassent partie du même ticket.",add-zendesk-integration.md
### Views,### Vues,add-zendesk-integration.md
"injixo builds source queues based on your Zendesk views. After the initial data import, you will see a source queue for every supported view that you have created in Zendesk. If a view contains events from different channels (e.g. chat and email), these will appear in separate {% link_new channels | features/forecast/injixo-forecast/manage-workloads.md | #queues-and-channels %} in injixo.","injixo crée les files d’attente source selon vos vues Zendesk. Après l’import de données initial, vous verrez une file d’attente source pour chaque vue prise en charge que vous avez créée dans Zendesk. Si une vue contient des événements de différents canaux (par exemple, Chat et e-mail), ceux-ci apparaîtront dans des {% link_new canaux | features/forecast/injixo-forecast/manage-workloads.md | #files-dattente-et-canaux %} différents dans injixo.",add-zendesk-integration.md
Note: Adding new Zendesk views after you have saved the integration will auto-generate new injixo source queues and related history.,"Remarque&nbsp;: si vous ajoutez de nouvelles vues Zendesk après avoir sauvegardé l’intégration, de nouvelles files d’attente source seront générées automatiquement dans injixo, ainsi que l’historique correspondant.",add-zendesk-integration.md
### Unsupported views,### Vues non prises en charge,add-zendesk-integration.md
injixo can create source queues for most views but currently does not support views that use the following ticket fields:,"injixo peut créer des files d’attente source pour la plupart des vues, mais ne prend actuellement pas en charge les vues qui utilisent les champs de ticket suivants&nbsp;:",add-zendesk-integration.md
- Business Hours,- Horaires d’ouverture,add-zendesk-integration.md
- SLA,- SLA,add-zendesk-integration.md
- Channel,- Média,add-zendesk-integration.md
- Skills,- Compétences,add-zendesk-integration.md
- Conditions with user-specific values (e.g. Assignee is (current user)),"- Conditions avec des valeurs spécifiques à l’utilisateur (par exemple, la personne affectée est (utilisateur actuel))",add-zendesk-integration.md
"If you have Zendesk views with conditions referring to at least one of the fields above, injixo will ignore these views and will not create queues for them.","Si certaines de vos vues ont des conditions faisant référence à au moins l’un des champs ci-dessus, injixo ignorera ces vues et ne créera pas de files d’attente pour celles-ci.",add-zendesk-integration.md
### Channel mapping between Zendesk and injixo,### Mapping des canaux Zendesk dans injixo,add-zendesk-integration.md
Any change event on a Zendesk ticket may be counted within multiple injixo channels.,La modification d’un événement dans un ticket Zendesk peut être comptée dans plusieurs canaux dans injixo.,add-zendesk-integration.md
"Example: An email will create a ticket which will show up in an email queue in injixo. If that same ticket enters a chat view, it will also be counted in a chat queue in injixo.","Exemple&nbsp;: un e-mail créera un ticket qui s’affichera dans une file d’attente d’e-mails dans injixo. Si ce même ticket est intégré dans une vue de chat, il sera également compté dans une file d’attente de chat dans injixo.",add-zendesk-integration.md
| Zendesk Channel                           | injixo       |,| Canal Zendesk                           | injixo       |,add-zendesk-integration.md
| ----------------------------------------- | ------------ |,| ----------------------------------------- | ------------ |,add-zendesk-integration.md
| email                                     | email        |,| email                                     | email        |,add-zendesk-integration.md
| mobile                                    | email        |,| mobile                                    | email        |,add-zendesk-integration.md
| web                                       | email        |,| web                                       | email        |,add-zendesk-integration.md
| chat                                      | chat         |,| chat                                      | chat         |,add-zendesk-integration.md
| native_messaging                          | chat         |,| native_messaging                          | chat         |,add-zendesk-integration.md
| sms                                       | social_media |,| sms                                       | social_media |,add-zendesk-integration.md
| any_channel                               | social_media |,| any_channel                               | social_media |,add-zendesk-integration.md
| facebook                                  | social_media |,| facebook                                  | social_media |,add-zendesk-integration.md
| twitter                                   | social_media |,| twitter                                   | social_media |,add-zendesk-integration.md
| sunshine_conversations_facebook_messenger | social_media |,| sunshine_conversations_facebook_messenger | social_media |,add-zendesk-integration.md
| instagram_dm                              | social_media |,| instagram_dm                              | social_media |,add-zendesk-integration.md
| voice                                     | call         |,| voice                                     | call         |,add-zendesk-integration.md
| api                                       | case         |,| api                                       | case         |,add-zendesk-integration.md
| answer_bot_for_web_widget                 | case         |,| answer_bot_for_web_widget                 | case         |,add-zendesk-integration.md
| chat_transcript                           | case         |,| chat_transcript                           | case         |,add-zendesk-integration.md
| mobile_sdk                                | case         |,| mobile_sdk                                | case         |,add-zendesk-integration.md
### Queue names for Zendesk Support,### Noms des files d’attente pour Zendesk Support,add-zendesk-integration.md
The resulting source queue name for Zendesk Support queues will follow this convention:,Le nom de la file d’attente source créée pour les files d’attente Zendesk Support suivent la convention suivante&nbsp;:,add-zendesk-integration.md
"""view name + (injixo channel)""","""nom de vue + (canal injixo)""",add-zendesk-integration.md
Examples:,Exemples&nbsp;:,add-zendesk-integration.md
- Support Tickets (chat),- Tickets de support (chat),add-zendesk-integration.md
### Queue names for Zendesk Talk,### Noms des files d’attente pour Zendesk Talk,add-zendesk-integration.md
The resulting source queue name for Zendesk Talk queues will follow this convention:,Le nom de la file d’attente source créée pour les files d’attente Zendesk Talk suivent la convention suivante&nbsp;:,add-zendesk-integration.md
"""Calls Inbound For + grouping strategy""","""Calls Inbound For + stratégie de regroupement""",add-zendesk-integration.md
Examples:,Exemples&nbsp;:,add-zendesk-integration.md
- Calls Inbound For +49123456789 (Phone number),- Calls Inbound For +49123456789 (Numéro de téléphone),add-zendesk-integration.md
- Calls Inbound For Senior Agents (IVR),- Calls Inbound For Senior Agents (SVI),add-zendesk-integration.md
- Calls Inbound Ungrouped,- Calls Inbound Ungrouped,add-zendesk-integration.md
An Avaya CMS integration is an on-premise integration that imports call and agent status data.,Avaya CMS est une intégration on-premise permettant d’importer des données d’appel et les statuts agent.,add-avaya-cms-integration.md
The integration uses {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,Cette intégration utilise {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,add-avaya-cms-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,Vous débutez avec les intégrations&nbsp;? Commencez avec les {% link_new concepts fondamentaux | features/acd-integration/cloud/how-integrations-work.md %}.,add-avaya-cms-integration.md
## Add an Avaya CMS integration,## Ajouter une intégration Avaya CMS,add-avaya-cms-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Accédez à _Account > Intégrations_{:.breadcrumbs}.,add-avaya-cms-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Si une intégration est déjà présente, cliquez sur _Ajouter une intégration_{:.doc-button}.",add-avaya-cms-integration.md
"3. In the **Avaya CMS** tile, click _Add integration_{:.doc-button}.","3. Dans la section **Avaya CMS**, cliquez sur _Ajouter cette intégration_{:.doc-button}.",add-avaya-cms-integration.md
## Set up your new Avaya CMS integration,## Configurer votre nouvelle intégration Avaya CMS,add-avaya-cms-integration.md
1. Enter a unique name for the new integration.,1. Saisissez un nom unique pour la nouvelle intégration.,add-avaya-cms-integration.md
   The name will help you identify the source of data and determine which queue belongs to which integration.<br>Example: Avaya integration - Customer Support Team,   Le nom vous aidera à identifier la source des données et à déterminer la relation entre les files d’attente et les intégrations.<br>Exemple&nbsp;: Intégration Avaya - Équipe support client,add-avaya-cms-integration.md
1. Install and connect {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,1. Installez et connectez {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,add-avaya-cms-integration.md
"1. In the **Configuration** section, set up your integration:","1. Dans la section **Configuration**, paramétrez votre intégration&nbsp;:",add-avaya-cms-integration.md
 - Enter the [connection string](#connection-string) that defines the parameters required to connect the CMS database., - Entrez la [chaîne de connexion](#chaîne-de-connexion) définissant les paramètres requis pour connecter la base de données du CMS.,add-avaya-cms-integration.md
 - Select your database time zone from the drop-down menu., - Sélectionnez le Fuseau horaire de votre base de données depuis le menu déroulant.,add-avaya-cms-integration.md
 - Check the **Import detailed agent statuses** checkbox to add information about skills (agent profile) and splits (call routing) to imported agent statuses., - Cochez la case **Importer les statuts agent détaillés** pour ajouter des informations sur les skills (profil agent) et les splits (routage des appels) aux statuts agent importés.,add-avaya-cms-integration.md
" - To import real-time agent status data, check the **Import real-time data** checkbox. In this case, enter a port number in the **Port** field.<br>"," - Pour importer les données de statut agent en temps réel, cochez la case **Importer les données en temps réel**. Dans ce cas, entrez un numéro de port dans le champ **Port**.<br>",add-avaya-cms-integration.md
   injixo Cloud Link will open a listening TCP socket on the specified port. The Avaya Generic RTA service will connect to this port and start streaming real-time agent status data. The Avaya Generic RTA service is licensed and configured in Avaya.,   injixo Cloud Link ouvrira un socket d’écoute TCP sur le port spécifié. Le service Avaya Generic RTA se connectera à ce port et commencera à importer les données de statut agent en temps réel. Le service Avaya Generic RTA est sous licence et configuré dans Avaya.,add-avaya-cms-integration.md
1. Click _Save integration_{:.doc-button} to create the integration.,"1. Pour créer l’intégration, cliquez sur _Sauvegarder l’intégration_{:.doc-button}.",add-avaya-cms-integration.md
"The integration starts importing data into injixo. To import agent status data, you need to {% link_new map external user identifiers and activities | features/acd-integration/cloud/import-agent-status-data.md %} once your Avaya integration is set up. If you have activated the **Import real-time data** option before, pause your integration.","L’intégration commence à importer les données dans injixo. Si vous souhaitez importer des données de statut agent, vous devez {% link_new mapper les identifiants et les activités externes | features/acd-integration/cloud/import-agent-status-data.md %} une fois votre intégration Avaya configurée. Si vous avez activé l’option **Importer les données en temps réel**, mettez votre intégration en pause.",add-avaya-cms-integration.md
## Connection string,## Chaîne de connexion,add-avaya-cms-integration.md
"The Avaya CMS integration needs the connection string to connect to your Avaya CMS database. Because Avaya CMS typically uses an IBM Informix database, you need to use a special connection string.","L’intégration Avaya CMS nécessite une chaîne de connexion pour se connecter à votre base de données Avaya CMS. Étant donné qu’Avaya CMS utilise généralement une base de données IBM Informix, vous devez utiliser une chaîne de connexion spéciale.",add-avaya-cms-integration.md
Connection string examples that use the IBM Informix ODBC Driver:<br>,Exemples de chaînes de connexion utilisant le pilote ODBC IBM Informix&nbsp;:<br>,add-avaya-cms-integration.md
- `DRIVER={IBM INFORMIX ODBC DRIVER};SERVER=myServerAddress;DATABASE=myDatabase;HOST=myHost;SERVICE=myService;UID=myUsername;PWD=myPassword;PROTOCOL=onsoctcp;DELIMIDENT=y;` (native access via ODBC driver),- `DRIVER={IBM INFORMIX ODBC DRIVER};SERVER=myServerAddress;DATABASE=myDatabase;HOST=myHost;SERVICE=myService;UID=myUsername;PWD=myPassword;PROTOCOL=onsoctcp;DELIMIDENT=y;` (accès natif via le pilote ODBC),add-avaya-cms-integration.md
- `DSN=AvayaCMS;DELIMIDENT=y;` (requires an ODBC connection named AvayaCMS),- `DSN=AvayaCMS;DELIMIDENT=y;` (nécessite une connexion ODBC appelée AvayaCMS),add-avaya-cms-integration.md
"If your Avaya CMS does not use an IBM Informix database, you need to obtain the appropriate connection string for your specific database type and ODBC driver. Avaya only supports ODBC connectivity.","Si votre Avaya CMS n’utilise pas une base de données IBM Informix, vous devez obtenir la chaîne de connexion appropriée pour votre type de base de données et le pilote ODBC. Avaya ne prend en charge que la connectivité ODBC.",add-avaya-cms-integration.md
## Edit an Avaya CMS integration,## Modifier une intégration Avaya CMS,add-avaya-cms-integration.md
"In case any of the integration details change, e.g. database server credentials, you can edit and update the configuration of your integration. The data import will continue using the updated configuration.","Si les détails de l’intégration changent, comme par exemple les identifiants du serveur de la base de données, vous pouvez modifier et mettre à jour la configuration de votre intégration. L’import de données continuera en utilisant la configuration mise à jour.",add-avaya-cms-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,Vous débutez avec les intégrations&nbsp;? Commencez avec les {% link_new concepts fondamentaux | features/acd-integration/cloud/how-integrations-work.md %}.,install-cloud-link.md
## What is injixo Cloud Link?,## Qu’est-ce qu’injixo Cloud Link&nbsp;?,install-cloud-link.md
injixo Cloud Link is a client software that needs to be installed when setting up on-premise integrations. injixo Cloud Link regularly imports data into injixo. You can also install injixo Cloud Link when configuring your CSV integrations to regularly import new CSV files from a folder.,injixo Cloud Link est un logiciel client requis pour la configuration des intégrations on-premise. injixo Cloud Link importe régulièrement des données vers injixo. Vous pouvez également installer injixo Cloud Link lors de la configuration de vos intégrations par fichier CSV pour importer régulièrement de nouveaux fichiers depuis un dossier.,install-cloud-link.md
The client installation directory contains:,Le dossier d’installation du client contient&nbsp;:,install-cloud-link.md
- the injixo-cloud-link executable.,"- un fichier exécutable injixo-cloud-link,",install-cloud-link.md
- one or more injixo-cloud-link.\*.log file(s).,"- un ou plusieurs fichiers injixo-cloud-link.*.log,",install-cloud-link.md
- the injixo-cloud-link.toml config file.,"- un fichier de configuration injixo-cloud-link.toml,",install-cloud-link.md
- a licenses folder with open source library licenses.,- un dossier licences contenant des licences de bibliothèques open source.,install-cloud-link.md
## Prerequisites,## Prérequis,install-cloud-link.md
- Windows: injixo Cloud Link runs on Windows 10 and above and on Windows Server 2016 and above. <!-- what about Linux -->,"- Windows&nbsp;: injixo Cloud Link fonctionne sous Windows 10 et versions ultérieures, et sur Windows Server 2016 et versions ultérieures.",install-cloud-link.md
- Linux: The unixODBC package must be installed.,- Linux&nbsp;: le package unixODBC doit être installé.,install-cloud-link.md
- Firewall/Proxy: Port 443 must be open for outgoing traffic. injixo Cloud Link uses TLS-encryption with TCP over port 443.,- Pare-feu/Proxy&nbsp;: autorisez le trafic Web via le port 443\. injixo Cloud Link utilise le chiffrement TLS avec connexion TCP sur le port 443.,install-cloud-link.md
"Note: On-premise integrations access a local system to pull data from, e.g. an ACD or CRM. Depending on the database type, you must install a database driver.","Remarque&nbsp;: les intégrations on-premise accèdent à un système local à partir duquel elles récupèrent des données, par exemple un ACD ou un CRM. En fonction du type de base de données, vous devez installer un pilote de base de données.",install-cloud-link.md
## Install injixo Cloud Link,## Installer injixo Cloud Link,install-cloud-link.md
"When you add an {% link_new on-premise integration | features/acd-integration/cloud/add-on-premise-integration.md %}, {% link_new a CSV integration | features/acd-integration/cloud/add-csv-integration.md %}, or {% link_new a database integration | features/acd-integration/cloud/add-database-integration.md %}, the **injixo Cloud Link** section provides links to download the client installer (for Windows) or archive (for Linux).","Lorsque vous ajoutez une {% link_new intégration on-premise | features/acd-integration/cloud/add-on-premise-integration.md %}, une {% link_new intégration CSV | features/acd-integration/cloud/add-csv-integration.md %} ou une {% link_new intégration de base de données | features/acd-integration/cloud/add-database-integration.md %}, la section **Injixo Cloud Link** fournit des liens pour télécharger l’installateur client (pour Windows) ou l’archive (pour Linux).",install-cloud-link.md
### Windows service installation,### Installation du service Windows,install-cloud-link.md
Install the first service using the Windows client installer:,Installez le premier service à l’aide du programme d’installation du client Windows&nbsp;:,install-cloud-link.md
1. Click **Download for Windows 64-bit** and run the installer.,1. Cliquez sur **Télécharger pour Windows 64-bit** et exécutez le programme d’installation.,install-cloud-link.md
2. Click **Next**.,2. Cliquez sur **Next**.,install-cloud-link.md
3. (Optional) Change the installation directory.,3. (Facultatif) Modifiez le dossier d’installation.,install-cloud-link.md
"4. Click **Next**, then **Install**.","4. Cliquez sur **Next**, puis **Install**.",install-cloud-link.md
   A console window displays a PIN that is valid for 5 minutes.,   Une fenêtre de console affiche un PIN valide pour 5 minutes.,install-cloud-link.md
"   To [connect Cloud Link to your integration](#connect-cloud-link-to-your-integration), follow the instructions in the console window.","   Pour [connecter Cloud Link à votre intégration](#connecter-injixo-cloud-link-à-votre-intégration), suivez les instructions de la console.",install-cloud-link.md
5. Click **Finish** in the installer.,5. Cliquez sur **Finish** dans le programme d’installation.,install-cloud-link.md
   The installer creates the **injixo Cloud Link** Windows service.,   Le programme d’installation crée le service Windows **injixo Cloud Link**.,install-cloud-link.md
"### <a name=""install-multiple-cloud-link-services-windows"">Install multiple Windows services",### Installer plusieurs services Windows,install-cloud-link.md
"You can install up to eight additional services for separate integrations. To avoid overwriting previous service instances, install them in separate directories.","Vous pouvez installer jusqu’à huit services supplémentaires pour gérer des intégrations distinctes. Pour éviter de remplacer les instances de service précédemment installées, installez-les dans des dossiers différents.",install-cloud-link.md
"To install a second Cloud Link service on Windows, add a new integration and proceed as follows:","Pour installer un deuxième service Cloud Link sur Windows, ajoutez une nouvelle intégration et procédez comme suit&nbsp;:",install-cloud-link.md
1. Click **Download for Windows 64-bit**.,1. Cliquez sur **Télécharger pour Windows 64-bit**.,install-cloud-link.md
2. Open a Windows command prompt (cmd).,2. Ouvrez une invite de commande Windows (cmd).,install-cloud-link.md
"3. For the second instance, run the following command:","3. Pour la deuxième instance, exécutez la commande suivante&nbsp;:",install-cloud-link.md
   ```,   ```,install-cloud-link.md
"   msiexec /i injixo-cloud-link.msi MSINEWINSTANCE=1 TRANSFORMS="":instance.1""","   msiexec /i injixo-cloud-link.msi MSINEWINSTANCE=1 TRANSFORMS="":instance.1""",install-cloud-link.md
   ```,   ```,install-cloud-link.md
   > Increase the instance ID in the TRANSFORMS parameter when you install more instances.,   > Augmentez l’ID de l’instance dans le paramètre TRANSFORMS lorsque vous installez des instances supplémentaires.,install-cloud-link.md
   >,   >,install-cloud-link.md
"   > For example, the third instance requires `"":instance.2""`, the fourth instance`"":instance.3""`, and so on.","   > Par exemple, utilisez `"":instance.2""` pour la troisième instance, `"":instance.3""` pour la quatrième instance, et ainsi de suite.",install-cloud-link.md
4. Follow the instructions in the installation procedure.,4. Suivez les instructions de la procédure d’installation.,install-cloud-link.md
"   The installer will suggest a new default installation directory that includes the instance, e.g. (Instance 1).","   Le programme d’installation suggérera un nouveau dossier d’installation par défaut qui inclut l’instance, par exemple instance.1""",install-cloud-link.md
"   Tip: To identify which integration the installation belongs to, you can add ACD and import type details, e.g. (ACD - agent import) to the default installation directory.","   Conseil&nbsp;: pour identifier à quelle intégration appartient l’installation, vous pouvez ajouter les détails de l’ACD et du type d’importation, par exemple (ACD - import statut agent) au dossier d’installation par défaut.",install-cloud-link.md
   You will see the new directory and a new Windows service named injixo Cloud Link (Instance {id}).,   Vous verrez le nouveau dossier et un nouveau service Windows nommé injixo Cloud Link (Instance {id}).,install-cloud-link.md
### Linux service installation,### Installation du service Linux,install-cloud-link.md
Install the first service based on the following example:,Installez le premier service selon l’exemple suivant&nbsp;:,install-cloud-link.md
1. Click **Download for Linux 64-bit** and extract the archive into your preferred installation folder.,1. Cliquez sur **Télécharger pour Linux 64-bit** et décompressez l’archive dans le dossier d’installation de votre choix.,install-cloud-link.md
2. Open a terminal.,2. Ouvrez un terminal.,install-cloud-link.md
3. Install the injixo Cloud Link service:,3. Installez le service injixo Cloud Link&nbsp;:,install-cloud-link.md
   `sudo ./injixo-cloud-link service install`,   `sudo ./injixo-cloud-link service install`,install-cloud-link.md
4. Start the installed service:,4. Lancez le service installé&nbsp;:,install-cloud-link.md
   `sudo ./injixo-cloud-link service start`,   `sudo ./injixo-cloud-link service start`,install-cloud-link.md
5. Display a PIN with the command:,5. Affichez un PIN à l’aide de la commande&nbsp;:,install-cloud-link.md
   `sudo ./injixo-cloud-link pin`,   `sudo ./injixo-cloud-link pin`,install-cloud-link.md
   A console window displays a PIN that is valid for 5 minutes.,   Une fenêtre de console affiche un PIN valide pour 5 minutes.,install-cloud-link.md
"   To [connect Cloud Link to your integration](#connect-cloud-link-to-your-integration), follow the instructions in the console window.","   Pour [connecter Cloud Link à votre intégration](#connecter-injixo-cloud-link-à-votre-intégration), suivez les instructions de la console.",install-cloud-link.md
"### <a name=""install-multiple-cloud-link-services-linux"">Install multiple Linux services",### Installer plusieurs services Linux,install-cloud-link.md
"You can install multiple services that serve separate integrations. To avoid overwriting previously installed services, use separate directories.","Vous pouvez installer plusieurs services pour gérer des intégrations distinctes. Pour éviter de remplacer les services précédemment installés, utilisez des dossiers différents.",install-cloud-link.md
"To install more services on Linux, add a new integration and proceed as follows:","Pour installer des services Linux supplémentaires, ajoutez une nouvelle intégration et procédez comme suit&nbsp;:",install-cloud-link.md
1. Create a new directory and copy the files from the original installation directory.,1. Créez un nouveau dossier et copiez les fichiers du dossier d’installation d’origine.,install-cloud-link.md
2. Open the injixo-cloud-link.toml file.,2. Ouvrez le ficher injixo-cloud-link.toml.,install-cloud-link.md
3. Change the value for **name** in the **[app]** section to a new ID:,3. Modifiez la valeur **name** dans la section **[app]** avec un nouvel ID&nbsp;:,install-cloud-link.md
   ```,   ```,install-cloud-link.md
   [app],   [app],install-cloud-link.md
"   name = ""com.injixo.cloud-link.instance.1""","name = ""com.injixo.cloud-link.instance.1""",install-cloud-link.md
   ```,   ```,install-cloud-link.md
4. Install and start the new service from the new directory as described above.,4. Installez et lancez le nouveau service depuis le nouveau dossier comme décrit précédemment.,install-cloud-link.md
## Connect Cloud Link to your integration,## Connecter injixo Cloud Link à votre intégration,install-cloud-link.md
"The Cloud Link installation displays the following message, including a PIN:",L’installation de Cloud Link affiche le message suivant et inclut un PIN&nbsp;:,install-cloud-link.md
```,```,install-cloud-link.md
"** Before you are able to run the client,","** Avant de pouvoir lancer le client,",install-cloud-link.md
** link it to your injixo account:,** reliez-le à votre compte injixo&nbsp;:,install-cloud-link.md
**  1) Log in to injixo.com,**  1) Connectez vous à injixo.com.,install-cloud-link.md
**  2) Visit https://www.injixo.com/account/integrations,**  2) Ouvrez https://www.injixo.com/account/integrations.,install-cloud-link.md
**  3) Select an integration you want to connect the client to,**  3) Sélectionnez une intégration à laquelle vous souhaitez connecter le client.,install-cloud-link.md
**  4) Enter your pin: 424242 (expires in 5 minutes),**  4) Entrez votre PIN&nbsp;: 424242 (expire dans 5 minutes).,install-cloud-link.md
```,```,install-cloud-link.md
1. Go back to the **Add a new integration** page in your browser.,1. Retournez à la page **Ajouter une nouvelle intégration** dans votre navigateur.,install-cloud-link.md
"2. In the **injixo Cloud Link** section, enter your PIN in the six-digit input field **PIN shown during installation**.","2. Dans la section **injixo Cloud Link**, saisissez votre PIN dans le champ à six chiffres **PIN shown during installation**.",install-cloud-link.md
3. Click _Connect_{:.doc-button}.,3. Cliquez sur _Connect_{:.doc-button}.,install-cloud-link.md
   Cloud Link connects to injixo. You can continue setting up your {% link_new on-premise integration | features/acd-integration/cloud/add-on-premise-integration.md %} or {% link_new CSV integration | features/acd-integration/cloud/add-csv-integration.md %}.,   Cloud Link se connecte à injixo. Continuez la configuration de votre {% link_new intégrationon-premise | features/acd-integration/cloud/add-on-premise-integration.md %} ou {% link_new CSV | features/acd-integration/cloud/add-csv-integration.md %}.,install-cloud-link.md
## Connect through a proxy server,## Se connecter via un serveur proxy,install-cloud-link.md
"To connect through a proxy server, add the proxy hostname or IP address to the **https_proxy** environment variable:","Pour vous connecter via un serveur proxy, ajoutez le nom d’hôte ou l’adresse IP à la variable d’environnement **https_proxy**&nbsp;:",install-cloud-link.md
