en,it,article
 - Enter your database username and password., - Inserisci il nome utente e la password del tuo database.,add-genesys-engage-integration.md
 - Enter the name of the ETL database., - Inserisci il nome del database ETL.,add-genesys-engage-integration.md
 - Enter the name of the configuration database., - Inserisci il nome del database di configurazione.,add-genesys-engage-integration.md
"4. If you want to import agent status data, check the checkbox **Import agent status data** in the **Configuration** section.<br>","4. Se vuoi importare i dati sugli stati degli agenti, spunta la casella **Importa i dati sugli stati degli agenti** nella sezione **Configurazione**.<br>",add-genesys-engage-integration.md
"Note: To successfully import agent status data, you first need to {% link_new map external user identifiers and activities | features/acd-integration/cloud/import-agent-status-data.md | #map-external-identifiers-to-people-in-injixo %}.","Nota: per importare i dati sugli stati degli agenti, devi prima {% link_new associare gli identificatori degli utenti esterni e le attività esterne | features/acd-integration/cloud/import-agent-status-data.md | #associare-gli-identificatori-degli-utenti-esterni-ai-dipendenti-in-injixo %}.",add-genesys-engage-integration.md
5. Click _Save integration_{:.doc-button}.,5. Clicca su _Salva integrazione_{:.doc-button}.,add-genesys-engage-integration.md
The integration starts importing data into injixo.,L’integrazione comincia a importare dati in injixo.,add-genesys-engage-integration.md
## Edit a Genesys Engage integration,## Modificare un'integrazione Genesys Engage,add-genesys-engage-integration.md
"If integration details change, e.g. database server credentials, you can edit and update the configuration of your integration. The data import will continue using the updated configuration.","Se i dettagli dell’integrazione, come, per esempio, le credenziali del server del database, cambiano, è possibile modificare e aggiornare la configurazione dell’integrazione. L’importazione dei dati continuerà utilizzando la configurazione aggiornata.",add-genesys-engage-integration.md
Add a Freshchat integration,Aggiungere un'integrazione Freshchat,add-freshchat-integration.md
Learn how to connect your Freshchat CRM to injixo to import data.,Impara come collegare il tuo sistema CRM Freshchat a injixo per importare dati.,add-freshchat-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,È la prima volta che ti occupi di integrazioni? Meglio cominciare dalle {% link_new basi | features/acd-integration/cloud/how-integrations-work.md %}.,add-freshchat-integration.md
## Add a Freshchat integration,## Aggiungere un'integrazione Freshchat,add-freshchat-integration.md
"To add a new Freshchat integration in injixo, you need to have a Pro or Enterprise Freshchat account.","Per aggiungere una nuova integrazione Freshchat in injixo, devi avere un account Freshchat del tipo Pro o Enterprise.",add-freshchat-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Vai su _Account > Integrazioni_{:.breadcrumbs}.,add-freshchat-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Se ci sono già altre integrazioni, clicca su _Aggiungi integrazione_{:.doc-button}.",add-freshchat-integration.md
"3. In the **Freshworks** tile, click _Select model_{:.doc-button}.","3. Nel riquadro **Freshworks**, clicca su _Seleziona modello_{:.doc-button}.",add-freshchat-integration.md
"4. In the **Freshchat** section, click _Add integration_{:.doc-button}.","4. Nella sezione **Freshchat**, clicca su _Aggiungi integrazione_{:.doc-button}.",add-freshchat-integration.md
## Set up your Freshchat integration,## Configurare una nuova integrazione Freshchat,add-freshchat-integration.md
1. Enter a unique name for the new integration that identifies the data source.,1. Inserisci un nome unico per l’integrazione che identifichi l’origine dei dati.,add-freshchat-integration.md
"2. In the **Credentials** section, enter your full Freshchat domain name including the subdomain, e.g. example.freshchat.com.","2. Nella sezione **Credenziali**, inserisci il nome completo del tuo dominio Freshchat, incluso il sottodominio, per esempio: esempio.freshchat.com.",add-freshchat-integration.md
3. Go to Freshchat and copy a valid API key of a user with the Account Administrator role.,3. Vai su Freshchat e copia una chiave API valida di un utente con il ruolo di Account Administrator.,add-freshchat-integration.md
4. Go back to injixo and paste the API key in the **API key** field.,4. Torna su injixo e incolla la chiave API nel campo **Chiave API**.,add-freshchat-integration.md
5. Click _Save integration_{:.doc-button}.,5. Clicca su _Salva integrazione_{:.doc-button}.,add-freshchat-integration.md
### Install the injixo app,### Installare l’app injixo,add-freshchat-integration.md
"The Freshchat integration requires a client application. After you have saved your configuration, you can access the **Install the injixo app** section at the bottom of the page.","L'integrazione Freshchat richiede un'applicazione client. Dopo aver salvato la configurazione, potrai accedere alla sezione **Installare l'app injixo** in fondo alla pagina.",add-freshchat-integration.md
Generate and copy the **injixo API key** here.,Genera la **chiave API di injixo** e incollala in questa sezione.,add-freshchat-integration.md
"To set up the injixo app in your Freshchat account, follow the on-screen instructions. For more information, refer to the [Freshworks marketplace](https://www.freshworks.com/apps/injixo_connect).","Per impostare l’app injixo nel tuo account Freshchat, segui le istruzioni sullo schermo. Per altre informazioni, consulta il [Freshworks marketplace](https://www.freshworks.com/apps/injixo_connect).",add-freshchat-integration.md
## Freshchat data in injixo,## I dati Freshchat in injixo,add-freshchat-integration.md
### Contacts,### Contatti,add-freshchat-integration.md
"In Freshchat, a chat usually contains multiple conversations that take place between your team members and your customers. In injixo, each solved chat counts as one contact, independent of the number of conversations.","In Freshchat, una chat di solito contiene diverse conversazioni che avvengono tra i tuoi colleghi e i clienti. In injixo, ogni chat risolta viene contata come un contatto, indipendentemente dal numero di conversazioni.",add-freshchat-integration.md
"Example: A customer creates a chat on the website, the team member then responds but solves the issue one day later, due to further information needed. This would be counted as one contact in injixo.","Esempio: un cliente apre una chat sul sito, un collega risponde, ma risolve il problema e la conversazione il giorno dopo, perché non aveva tutte le informazioni necessarie. injixo considera queste interazioni come un contatto solo.",add-freshchat-integration.md
### Source queue naming convention,### Convenzione sul nome delle code di origine,add-freshchat-integration.md
The source queues that injixo creates from your chats follow this convention:,Le code di origine che injixo crea dalle chat seguono questa convenzione:,add-freshchat-integration.md
"""group name""","""nome del gruppo""",add-freshchat-integration.md
Examples:,Esempi:,add-freshchat-integration.md
- Customer Support,- Customer Support,add-freshchat-integration.md
- Undefined_Queue,- Undefined_Queue,add-freshchat-integration.md
### Deleted and spam chats,### Chat eliminate e chat spam,add-freshchat-integration.md
"A chat can be deleted or marked as spam when it is updated. In this case, the integration cannot determine the group name. The source queues that count such chats are labeled Undefined_Queue. Typically, these queues are irrelevant for scheduling your people's workload.","Una chat può essere eliminata o contrassegnata come spam quando viene aggiornata. In questo caso, l’integrazione non può determinare il nome del gruppo. Le code di origine che contano queste chat sono etichettate come Undefined_Queue. Generalmente, queste code sono irrilevanti ai fini della pianificazione del workload dei dipendenti.",add-freshchat-integration.md
## Frequently asked questions,## Domande frequenti,add-freshchat-integration.md
| Question                                                                                                                                                                       | Answer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |,| Domanda                                                                                                                                                                       | Risposta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |,add-freshchat-integration.md
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |,| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |,add-freshchat-integration.md
"| Suddenly, injixo stops displaying new Freshchat data but the page in **Account > Integrations** still shows the status Operational for my Freshchat integration. What can I do? | The injixo app gets Freshchat data and sends events to injixo. In the event of communication errors between the injixo app and injixo, Freshchat data may no longer be displayed. The Freshchat integration cannot detect such communication errors.<br><br>Check that the injixo API key you entered when setting up the injixo app in your Freshchat account is still valid. If the API key is invalid, update the injixo API key on the injixo app installation page. If the API key is still valid, contact the injixo Support. |","| injixo smette improvvisamente di mostrare nuovi dati di Freshchat ma in **Account > Integrazioni** l’integrazione Freshchat ha ancora lo stato Operativo. Che cosa posso fare? | L'app injixo ottiene dati da Freshchat e invia eventi a injixo. In caso di errori di comunicazione tra l'app injixo e injixo, i dati di Freshchat potrebbero non essere più visualizzati. L'integrazione Freshchat non è in grado di rilevare eventuali errori di comunicazione.<br><br>Verifica che la chiave API di injixo che hai inserito durante la configurazione dell'app injixo nel tuo account Freshchat sia ancora valida. Se la chiave API non è più valida, aggiorna la chiave API di injixo nella pagina di installazione dell'app injixo. Se la chiave API è ancora valida, contatta l’assistenza di injixo. |",add-freshchat-integration.md
Add a Freshdesk integration,Aggiungere un’integrazione Freshdesk,add-freshdesk-integration.md
Learn how to connect your Freshdesk CRM to injixo to import data.,Scopri come collegare il tuo sistema CRM Freshdesk a injixo per importare dati.,add-freshdesk-integration.md
"A Freshdesk integration is a cloud integration that imports contact volumes for email, web forms, chat, and social messaging.","Un'integrazione Freshdesk è un'integrazione cloud che importa i volumi di contatto relativi a email, moduli web, chat e messaggi social.",add-freshdesk-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,È la prima volta che ti occupi di integrazioni? Meglio cominciare dalle {% link_new basi | features/acd-integration/cloud/how-integrations-work.md %}.,add-freshdesk-integration.md
## Add a Freshdesk integration,## Aggiungere un’integrazione Freshdesk,add-freshdesk-integration.md
"To add a new Freshdesk integration in injixo, you need to have a Pro or Enterprise Freshdesk account.","Per aggiungere una nuova integrazione Freshdesk in injixo, devi avere un account Freshdesk del tipo Pro o Enterprise.",add-freshdesk-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Vai su _Account > Integrazioni_{:.breadcrumbs}.,add-freshdesk-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Se ci sono già altre integrazioni, clicca su _Aggiungi integrazione_{:.doc-button}.",add-freshdesk-integration.md
"3. In the **Freshworks** tile, click _Select model_{:.doc-button}.","3. Nel riquadro **Freshworks**, clicca su _Seleziona modello_{:.doc-button}.",add-freshdesk-integration.md
"4. In the **Freshdesk** section, click _Add integration_{:.doc-button}.","4. Nella sezione **Freshdesk**, clicca su _Aggiungi integrazione_{:.doc-button}.",add-freshdesk-integration.md
## Set up your Freshdesk integration,## Impostare un’integrazione Freshdesk,add-freshdesk-integration.md
1. Enter a unique name for the new integration that identifies the data source.,1. Inserisci un nome unico per l’integrazione che identifichi l’origine dei dati.,add-freshdesk-integration.md
"2. In the **Credentials** section, enter your full Freshdesk domain name including the subdomain, e.g. example.freshdesk.com.","2. Nella sezione **Credenziali**, inserisci il nome completo del tuo dominio Freshdesk, incluso il sottodominio, per esempio: esempio.freshdesk.com.",add-freshdesk-integration.md
3. Go to Freshdesk and copy a valid API key of a user with the Account Administrator role.,3. Vai su Freshdesk e copia una chiave API valida di un utente con il ruolo di Account Administrator.,add-freshdesk-integration.md
4. Go back to injixo and paste the API key in the **API key** field.,4. Torna su injixo e incolla la chiave API nel campo **Chiave API**.,add-freshdesk-integration.md
5. Click _Save integration_{:.doc-button}.,5. Clicca su _Salva integrazione_{:.doc-button}.,add-freshdesk-integration.md
## Install the injixo app,## Installare l’app injixo,add-freshdesk-integration.md
"The Freshdesk integration requires a client application. After you have saved your configuration, you can access the **Install the injixo app** section at the bottom of the page.","L’integrazione Freshdesk richiede un’applicazione client. Dopo aver salvato la configurazione, potrai accedere alla sezione **Installare l'app injixo** in fondo alla pagina.",add-freshdesk-integration.md
"To generate and copy the **injixo API key**, click _Generate_{:.doc-button}.","Per generare e copiare la**chiave API injixo**, clicca su _Generare_{:.doc-button}.",add-freshdesk-integration.md
"To set up the injixo app in your Freshdesk account, follow the on-screen instructions. For more information, refer to the [Freshworks marketplace](https://www.freshworks.com/apps/freshdesk/injixo_connect).","Per impostare l’app injixo nel tuo account Freshdesk, segui le istruzioni sullo schermo. Per altre informazioni, consulta il [Freshworks marketplace](https://www.freshworks.com/apps/freshdesk/injixo_connect).",add-freshdesk-integration.md
## Freshdesk data in injixo,## I dati Freshdesk in injixo,add-freshdesk-integration.md
injixo imports all ticket data from Freshdesk. Tickets usually contain multiple conversations that take place between your team members and customers.<br>,injixo importa da Freshdesk tutti i dati sui ticket. I ticket di solito contengono diverse conversazioni che avvengono tra i tuoi colleghi e i clienti.<br>,add-freshdesk-integration.md
Note: injixo cannot import ticket durations from Freshdesk. This is why you won't see the AHT graph for workloads with Freshdesk queues in injixo Forecast.,Nota: injixo non può importare da Freshdesk la durata dei ticket. Ecco perché in injixo Forecast non vedrai il grafico AHT per i workload con code Freshdesk.,add-freshdesk-integration.md
### Tickets and conversations,### Ticket e conversazioni,add-freshdesk-integration.md
"In injixo, all conversations are grouped by the Freshdesk communication channel (Source). A conversation can be a new ticket or a reply to an existing ticket.","In injixo, tutte le conversazioni vengono raggruppate in base al canale di comunicazione di Freshdesk (Source). Una conversazione può essere un nuovo ticket, oppure la risposta a un ticket esistente.",add-freshdesk-integration.md
"In injixo, the conversations in a Freshdesk ticket are counted separately as an offered contact.","In injixo, le conversazioni in un ticket Freshdesk vengono contate separatamente come contatto in entrata.",add-freshdesk-integration.md
"Example: A user creates a ticket by e-mail. The team member replies and closes the ticket. Two days later, the ticket is reopened due to another email, which leads to a new conversation.","Esempio: un utente apre un ticket mandando un’email. Una persona risponde all’email e così facendo chiude il ticket. Due giorni dopo, il ticket viene riaperto grazie a un’altra email, che apre una nuova conversazione.",add-freshdesk-integration.md
The number of offered contacts in injixo will usually be higher than the number of tickets reported in Freshdesk.,Il numero di contatti in entrata in injixo di solito sarà maggiore rispetto al numero di ticket riportati in Freshdesk.,add-freshdesk-integration.md
### Events from different sources,### Eventi da origini diverse,add-freshdesk-integration.md
"In a Freshdesk ticket, replies can be tracked in different injixo queues using the channel Cases.","In un ticket Freshdesk, le risposte possono essere incluse in code injixo diverse utilizzando il canale Casi.",add-freshdesk-integration.md
"Example: When there is an email reply to a ticket, you will see the contact in an injixo queue that matches the Freshdesk group and source name. A chat in the same ticket will be counted in a separate queue.","Esempio: quando c’è una risposta via email a un ticket, vedrai il contatto in una coda injixo che corrisponde al gruppo Freshdesk e al nome dell’origine. Una chat nello stesso ticket verrà inclusa in una coda separata.",add-freshdesk-integration.md
### Source queue naming convention,### Convenzione sul nome delle code di origine,add-freshdesk-integration.md
"injixo creates source queues from your tickets. The naming convention of these queues depends on the stage of the data import (initial or continuous). During this initial import, the source queue naming will follow this convention:","injixo crea le code di origine dai ticket. Le convenzioni sui nomi di queste code dipendono dalla fase dell’importazione dei dati (iniziale o continua). Durante l’importazione iniziale, il nome della coda di origine segue questa convenzione:",add-freshdesk-integration.md
"- ""group name + source name + Tickets""","- ""nome del gruppo + nome dell’origine + Tickets""",add-freshdesk-integration.md
"- ""group name + source name + Replies""","- ""nome del gruppo + nome dell’origine + Replies""",add-freshdesk-integration.md
Examples:,Esempi:,add-freshdesk-integration.md
- CustomerService chat Tickets,- CustomerService chat Tickets,add-freshdesk-integration.md
- CustomerService email Replies,- CustomerService email Replies,add-freshdesk-integration.md
- Unknown group/source Tickets,- Unknown group/source Tickets,add-freshdesk-integration.md
"A new ticket will create a ticket queue. A reply to a ticket will create a replies queue that will also record any other replies. To get all information about a ticket, you need to look at both the ticket and the replies queue.","Un nuovo ticket creerà una nuova coda. La risposta a un ticket creerà una coda di risposte che registrerà anche tutte le altre risposte. Per ottenere tutte le informazioni su un ticket, è necessario prendere in considerazione sia il ticket che la coda delle risposte.",add-freshdesk-integration.md
### Deleted tickets and spam tickets,### Ticket eliminati e ticket spam,add-freshdesk-integration.md
"The group name and source name cannot be determined when a ticket is changed that has already been deleted or marked as spam. The source queues that count such tickets will be labeled Unknown group/source Tickets or Unknown group/source Replies. Typically, these queues are irrelevant for scheduling your agents' workload.","Quando un ticket che è già stato eliminato o contrassegnato come spam viene modificato, non è possibile determinare il nome del gruppo e il nome dell’origine. La coda di origine che conta questi ticket sarà etichettata come Unknown group/source Tickets o Unknown group/source Replies. Generalmente, queste code sono irrilevanti ai fini della pianificazione del workload dei dipendenti.",add-freshdesk-integration.md
## Frequently asked questions,## Domande frequenti,add-freshdesk-integration.md
| Question                                                                                                                                                                       | Answer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |,| Domanda                                                                                                                                                                       | Risposta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |,add-freshdesk-integration.md
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |,| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |,add-freshdesk-integration.md
"| Suddenly, injixo stops displaying new Freshdesk data but the page in **Account > Integrations** still shows the status Operational for my Freshdesk integration. What can I do? | The injixo app gets Freshdesk data and sends events to injixo. In the event of communication errors between the injixo app and injixo, Freshdesk data may no longer be displayed. The Freshdesk integration cannot detect such communication errors.<br><br>Check that the injixo API key you entered when setting up the injixo app in your Freshdesk account is still valid. If the API key is invalid, update the injixo API key on the injixo app installation page. If the API key is still valid, contact the injixo Support. |","| injixo smette improvvisamente di mostrare nuovi dati di Freshchat ma in **Account > Integrazioni** l’integrazione Freshdesk ha ancora lo stato Operativo. Che cosa posso fare? | L'app injixo ottiene dati da Freshdesk e invia eventi a injixo. In caso di errori di comunicazione tra l'app injixo e injixo, i dati di Freshdesk potrebbero non essere più visualizzati. L'integrazione Freshdesk non è in grado di rilevare eventuali errori di comunicazione.<br><br>Verifica che la chiave API di injixo che hai inserito durante la configurazione dell'app injixo nel tuo account Freshdesk sia ancora valida. Se la chiave API non è più valida, aggiorna la chiave API di injixo nella pagina di installazione dell'app injixo. Se la chiave API è ancora valida, contatta l’assistenza di injixo. |",add-freshdesk-integration.md
Add a Talkdesk integration,Aggiungere un’integrazione Talkdesk,add-talkdesk-integration.md
Learn how to connect your Talkdesk ACD to injixo to import data.,Scopri come connettere il tuo sistema ACD Talkdesk a injixo per importare dati.,add-talkdesk-integration.md
A Talkdesk integration is a cloud integration that imports historical call data and agent status data.,Un'integrazione Talkdesk è un'integrazione cloud che importa la cronologia delle chiamate e i dati sugli stati degli agenti.,add-talkdesk-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,È la prima volta che ti occupi di integrazioni? Meglio cominciare dalle {% link_new basi | features/acd-integration/cloud/how-integrations-work.md %}.,add-talkdesk-integration.md
## Add a Talkdesk integration,## Aggiungere un’integrazione Talkdesk,add-talkdesk-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Vai su _Account > Integrazioni_{:.breadcrumbs}.,add-talkdesk-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Se ci sono già altre integrazioni, clicca su _Aggiungi integrazione_{:.doc-button}.",add-talkdesk-integration.md
"3. In the **Talkdesk** tile, click _Add integration_{:.doc-button}.","3. Nella sezione **Talkdesk**, clicca su _Aggiungi integrazione_{:.doc-button}.",add-talkdesk-integration.md
4. Enter a unique name for the new integration that identifies the data source.,4. Inserisci un nome unico per l’integrazione che identifichi l’origine dei dati.,add-talkdesk-integration.md
"5. In the **User credentials** section, complete the form with Talkdesk-specific information:","5. Nella sezione **Credenziali utente**, compila il modulo con le informazioni su Talkdesk:",add-talkdesk-integration.md
   - Enter your Talkdesk account name.,   - Inserisci il nome del tuo account Talkdesk.,add-talkdesk-integration.md
   - Enter the client ID and the client secret of a Talkdesk OAuth client.,   - Inserisci il Client ID e il Client secret di un client Talkdesk OAuth.,add-talkdesk-integration.md
"     > For Client ID and Client secret, [create a new OAuth client](https://docs.talkdesk.com/docs/creating-a-new-oauth-client) in Talkdesk.","     > Per il Client ID e il Client secret, [crea un nuovo client OAuth](https://docs.talkdesk.com/docs/creating-a-new-oauth-client) in Talkdesk.",add-talkdesk-integration.md
     >,     >,add-talkdesk-integration.md
     > You can also use an existing OAuth client that has been configured as follows:,     > Puoi anche utilizzare un client OAuth esistente che è stato configurato come segue:,add-talkdesk-integration.md
     >,     >,add-talkdesk-integration.md
     > - Grant type: client-credentials,     > - Tipo di concessione: client-credentials,add-talkdesk-integration.md
     > - Scopes: data-reports:read and data-reports:write,     > - Ambiti: data-reports:read e data-reports:write,add-talkdesk-integration.md
"6. In the **Configuration** section, select your account region.","6. Nella sezione **Configurazione**, seleziona la regione del tuo account.",add-talkdesk-integration.md
7. Click _Save integration_{:.doc-button}.,7. Clicca su _Salva integrazione_{:.doc-button}.,add-talkdesk-integration.md
   The integration will test the connection and report any issues.,   L’integrazione testerà la connessione e riporterà eventuali problemi.,add-talkdesk-integration.md
"   When the check has passed, the integration will start importing data to injixo.","   Al termine dei controlli, l’integrazione comincerà a importare dati in injixo.",add-talkdesk-integration.md
## What's next?,## E adesso che cosa succede?,add-talkdesk-integration.md
"When call data has been imported into queues, you can create your first workload. To learn more about the steps required to set up agent status data, check out the related articles.","Dopo che i dati sulle chiamate sono stati importati nelle code, potrai creare il primo workload. Per ulteriori informazioni sulla configurazione degli stati agente, leggi gli articoli collegati.",add-talkdesk-integration.md
Add a database integration,Aggiungere un’integrazione con database,add-database-integration.md
Connect your database to injixo to import data.,Connetti il tuo database a injixo per importare dati.,add-database-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,È la prima volta che ti occupi di integrazioni? Meglio cominciare dalle {% link_new basi | features/acd-integration/cloud/how-integrations-work.md %}.,add-database-integration.md
## What is a database integration?,## Che cos’è un’integrazione con database?,add-database-integration.md
A database integration is a special type of on-premise integration. Use a database integration if your system cannot connect to a cloud or another on-premise integration.,Un’integrazione con database è un tipo di integrazione on-premise. Utilizza un’integrazione con database se il tuo sistema non può connettersi a un’integrazione cloud o a un’altra integrazione on-premise.,add-database-integration.md
You can define an SQL query to read data from a database. Database integrations use {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,È possibile definire una query SQL per leggere i dati da un database. Le integrazioni con database utilizzano {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,add-database-integration.md
## Add a database integration,## Aggiungere un’integrazione con database,add-database-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Vai su _Account > Integrazioni_{:.breadcrumbs}.,add-database-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Se ci sono già altre integrazioni, clicca su _Aggiungi integrazione_{:.doc-button}.",add-database-integration.md
"3. In the **Universal Interfaces** tile, click _Select model_{:.doc-button}.","3. Nella sezione **Universal Interfaces**, clicca su _Seleziona modello_{:.doc-button}.",add-database-integration.md
"4. In the **Database** section, click _Add integration_{:.doc-button}.","4. Nella sezione **Database**, clicca su _Aggiungi integrazione_{:.doc-button}.",add-database-integration.md
## Set up your new database integration,## Configurare una nuova integrazione con database,add-database-integration.md
1. Enter a unique name for the new integration that identifies the data source.,1. Inserisci un nome unico per l’integrazione che identifichi l’origine dei dati.,add-database-integration.md
2. Install and connect {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,2. Installa e connetti {% link_new injixo Cloud Link | features/acd-integration/cloud/install-cloud-link.md %}.,add-database-integration.md
3. Select your **Database type**.,3. Seleziona il **Tipo di database**.,add-database-integration.md
"4. Enter your credentials, depending on your selection.","4. Inserisci le credenziali richieste, in funzione del tipo di database scelto.",add-database-integration.md
   | Database type                                  | Credentials                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |,   | Tipo di database                                  | Credenziali                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    |,add-database-integration.md
   | ---------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |,   | ---------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |,add-database-integration.md
"   | MS&nbsp;SQL&nbsp;Server<br>MySQL<br>PostgreSQL | **Database name**<br>**Host**<br>**Port**: If you use a named instance on an MS SQL Server connection, do not enter a port. Instead, open UDP port 1434 in your firewall to ensure that the SQL Server browser service can determine the port for injixo Cloud Link.<br>**Username**<br>**Password**                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |","   | MS SQL Server<br>MySQL<br>PostgreSQL | **Nome del database**<br>**Host**<br>**Porta**: Se utilizzi un’istanza denominata su una connessione MS SQL Server, non inserire nessuna porta. Piuttosto, apri la porta UDP 1434 nel tuo firewall per far sì che il servizio SQL Server Browser riesca a stabilire la porta per injixo Cloud Link.<br>**Nome utente**<br>**Password**                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |",add-database-integration.md
"   | Other (ODBC)                                   | **Connection string**: Connection strings contain parameters required for the integration to connect your database server. You can find a connection string suitable for your database type and ODBC driver at [https://www.connectionstrings.com](https://www.connectionstrings.com).<br><br>Example for an InterSystem Caché database:<br>`DRIVER={InterSystemsODBC};SERVER=myServerAddress;` `PORT=12345;DATABASE=myDataBase;UID=myUsername;PWD=myPassword;` <br><br>SQL identifier in queries will be delimited by double quotes. Add additional options to the connection string if your ODBC driver does not support this by default, e.g. for Informix.<br><br>Example for an IBM Informix database:<br>`DRIVER={IBM INFORMIX ODBC DRIVER};SERVER=myServerAddress;DATABASE=myDatabase;HOST=myHost;SERVICE=myService;UID=myUsername;PWD=myPassword;PROTOCOL=onsoctcp;DELIMIDENT=y;`<br><br>You can also create an ODBC datasource, in which you configure the driver, server, database, etc. This allows you to add the below DSN option as the connection string instead of including the connection details in the connection string. You still need to add the options that cannot be configured in the ODBC datasource, e.g. `DELIMIDENT=y`.<br><br>DSN examples:<br> `DSN=myODBCDatasourceName;`<br>`DSN=myODBCDatasourceName;DELIMIDENT=y;` |","   | Altro (ODBC)                                   | **Stringa di connessione** Le stringhe di connessione contengono i parametri necessari affinché l’integrazione si connetta al server del database. Consulta [www.connectionstrings.com](https://www.connectionstrings.com) per trovare una stringa di connessione adatta al tuo database e al tuo driver ODBC.<br><br>Esempio per un database InterSystem Caché:<br>`DRIVER={InterSystemsODBC};SERVER=myServerAddress;` `PORT=12345;DATABASE=myDataBase;UID=myUsername;PWD=myPassword;` <br><br>L’identificatore SQL nelle query sarà contenuto tra virgolette doppie. Aggiungi ulteriori opzioni alla stringa di connessione se il tuo driver ODBC non presenta questa possibilità per impostazione predefinita, per esempio per Informix.<br><br>Esempio per un database IBM Informix:<br>`DRIVER={IBM INFORMIX ODBC DRIVER};SERVER=myServerAddress;DATABASE=myDatabase;HOST=myHost;SERVICE=myService;UID=myUsername;PWD=myPassword;PROTOCOL=onsoctcp;DELIMIDENT=y;`<br><br>È anche possibile creare una sorgente dati ODBC in cui configuri il driver, il server, il database, etc. In questo modo puoi aggiungere l'opzione DSN sottostante come stringa di connessione anziché includere i dettagli di connessione nella stringa di connessione. Dovrai comunque aggiungere le opzioni che non possono essere configurate nella sorgente dati ODBC, come, per esempio: `DELIMIDENT=y`.<br><br>Esempi DSN:<br> `DSN=myODBCDatasourceName;`<br>`DSN=myODBCDatasourceName;DELIMIDENT=y;` |",add-database-integration.md
## Configure your import data,## Configurare i dati da importare,add-database-integration.md
"1. In the **Configuration** section, select the type of import data that you want to import from your database:","1. Nella sezione **Configurazione**, seleziona il tipo di dati che vuoi importare dal database:",add-database-integration.md
   - **Contact-based** for historical contact data with one row for each contact,"   - **Basato sul contatto** per i dati storici sui contatti, con una riga per ogni contatto",add-database-integration.md
