en,nl,article
## Why can't I see shifts to bid on?,## Waarom zie ik geen diensten waarop ik me kan inschrijven?,bid-on-shifts.md
You can't see shifts to bid on:,Je ziet geen diensten om je op in te schrijven:,bid-on-shifts.md
- if a shift request would violate working times.,- als een dienstaanvraag de werktijden zou overtreden;,bid-on-shifts.md
- if a shift request would violate the scheduling rules.,- als een dienstaanvraag de planningsregels zou overtreden;,bid-on-shifts.md
"  For example, if you are only available in the afternoon, you can't see morning shifts.","  Als je bijvoorbeeld alleen 's middags beschikbaar bent, dan kun je geen ochtenddiensten zien.",bid-on-shifts.md
"If you need help with shift bidding, get in touch with your supervisor or planner.","Als je hulp nodig hebt bij het inschrijven op diensten, neem dan contact op met je leidinggevende of planner.",bid-on-shifts.md
Explore injixo Me,injixo Me verkennen,explore-injixo-me.md
"Use injixo Me to view your schedule, swap shifts with colleagues, bid on shifts, request time off, set your availability, and clock in.","Gebruik injixo Me om je planning te bekijken, diensten te ruilen met collega's, je in te schrijven op diensten, verlof aan te vragen, je beschikbaarheid in te stellen en in te klokken.",explore-injixo-me.md
injixo Me is the injixo employee portal. Go to injixo Me to:,injixo Me is het medewerkersportaal van injixo. Ga naar injixo Me om:,explore-injixo-me.md
- See your schedule,- je planning te bekijken;,explore-injixo-me.md
- {% link_new Swap shifts with your colleagues | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #swap-shifts %},- {% link_new diensten te ruilen met je collega's | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #diensten-ruilen %};,explore-injixo-me.md
- {% link_new Bid on shifts | features/injixo-me/use-injixo-me/bid-on-shifts.md %},- {% link_new je in te schrijven op diensten | features/injixo-me/use-injixo-me/bid-on-shifts.md %};,explore-injixo-me.md
- Request time off,- verlof aan te vragen;,explore-injixo-me.md
- Set your availabilities,- je beschikbaarheid in te stellen;,explore-injixo-me.md
- Clock in,- in te klokken.,explore-injixo-me.md
## Access injixo Me,## Toegang tot injixo Me,explore-injixo-me.md
injixo Me works on the two latest versions of the following browsers:,injixo Me is compatibel met de twee nieuwste versies van de volgende browsers:,explore-injixo-me.md
- Microsoft Edge,- Microsoft Edge,explore-injixo-me.md
- Google Chrome,- Google Chrome,explore-injixo-me.md
- Mozilla Firefox,- Mozilla Firefox,explore-injixo-me.md
- Apple Safari,- Apple Safari,explore-injixo-me.md
"You can access injixo Me on your computer, {% link_new smartphone, or tablet | features/injixo-me/use-injixo-me/injixo-me-on-your-smartphone.md %}.","Je kunt injixo Me gebruiken op je computer, {% link_new smartphone of tablet | features/injixo-me/use-injixo-me/injixo-me-on-your-smartphone.md %}.",explore-injixo-me.md
"Once you have logged in to your injixo Me account, you will see up to six navigation items: [Dashboard](#get-an-overview-dashboard), [My Calendar](#see-your-schedule-my-calendar), [Team Calendar](#see-your-teams-schedule-team-calendar), [Time Off](#manage-your-time-off-requests-time-off), [Availability](#set-your-availabilities-availability), and [Time Recording](#clock-in-and-track-your-activities-time-recording).","Nadat je je met je injixo Me-account hebt aangemeld, zie je maximaal zes navigatie-items: [Dashboard](#een-overzicht-dashboard), [Mijn agenda](#je-planning-bekijken-mijn-agenda), [Teamkalender](#je-teamkalender-bekijken-teamkalender), [Verlof](#je-verlofaanvragen-beheren-verlof), [Beschikbaarheid](#je-beschikbaarheid-instellen-beschikbaarheid) en [Tijdregistratie](#inklokken-overschakelen-naar-een-andere-activiteit-en-uitklokken).",explore-injixo-me.md
"If you are missing a functionality, you may not have access to it. Get in touch with your supervisor or planner.","Mochten niet al deze functionaliteiten zichtbaar zijn, dan heb je daar mogelijk geen toegangsrechten voor. Neem contact op met je leidinggevende of planner.",explore-injixo-me.md
## Get an overview: Dashboard,## Een overzicht: Dashboard,explore-injixo-me.md
In _Me > Dashboard_{:.breadcrumbs} you can see an overview of your schedule:,In _Me > Dashboard_{:.breadcrumbs} vind je een overzicht van je planning:,explore-injixo-me.md
"- NOW, NEXT, and THEN: your current activity and the next two activities in your schedule","- NU, HIERNA en VERVOLGENS: je huidige activiteit en de twee daaropvolgende activiteiten in je planning.",explore-injixo-me.md
- 7 Day Agenda: your schedule for the next seven days. Here you can {% link_new swap shifts with your colleagues | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #swap-shifts %}.,- Agenda van 7 dagen: je planning voor de komende zeven dagen. Hier kun je {% link_new diensten ruilen met je collega's | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #diensten-ruilen %}.,explore-injixo-me.md
- Notices: counteroffers for shift swaps and open periods for shift bidding,- Meldingen: tegenaanbiedingen voor diensten ruilen en open periodes waarin je je kunt inschrijven op diensten.,explore-injixo-me.md
"- Upcoming Events: scheduled vacations, meetings, and absences","- Geplande evenementen: geplande vakantiedagen, vergaderingen en verlof",explore-injixo-me.md
## See your schedule: My Calendar,## Je planning bekijken: Mijn agenda,explore-injixo-me.md
"In _Me > My Calendar_{:.breadcrumbs} you can see your schedule in a daily, weekly, or monthly view.","In _Me > Mijn agenda_{:.breadcrumbs} kun je een dag-, week-, of maandaanzicht van je planning bekijken.",explore-injixo-me.md
You can also {% link_new swap shifts | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #swap-shifts %}.,Je kunt ook {% link_new diensten ruilen | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #diensten-ruilen %}.,explore-injixo-me.md
"- To change the displayed time period, click _Day_{:.doc-button}, _Week_{:.doc-button}, or _Month_{:.doc-button}.","- Om de weergegeven tijdsperiode te wijzigen, klik je op _Dag_{:.doc-button}, _Week_{:.doc-button} of _Maand_{:.doc-button}.",explore-injixo-me.md
"- To jump to the previous or to the next time period, click _<_{:.doc-button} or _>_{:.doc-button}.","- Om naar de vorige of volgende periode te springen, klik je op _<_{:.doc-button} of _>_{:.doc-button}.",explore-injixo-me.md
"- To see the overview for the current date, click _Today_{:.doc-button}.","- Om een overzicht voor vandaag te bekijken, klik je op _Vandaag_{:.doc-button}.",explore-injixo-me.md
"- To select a date range, click the {% icon calendar %}.","- Om een datumbereik te selecteren, klik je op het {% icon calendar %}.",explore-injixo-me.md
"- To display the daily view for a specific day, select the day in the calendar.","- Om het dagaanzicht voor een bepaalde datum weer te geven, selecteer je de dag in de kalender.",explore-injixo-me.md
"- To view a planner's comment for a specific day, click the {% icon comment %} in the list on the left (daily view).",- Klik op het pictogram {% icon comment %} in de lijst aan de linkerkant (dagaanzicht) om opmerkingen van planners voor een bepaalde dag te bekijken.,explore-injixo-me.md
### Subscribe to the calendar,### Abonneren op de agenda,explore-injixo-me.md
"Link an ICS URL with a calendar app, such as Outlook, iOS Calendar, or Android Calendar, to synchronize your calendar with injixo:","Koppel een ICS-URL aan een agenda-app, zoals Outlook, iOS Agenda of Android Agenda, om je agenda te synchroniseren met injixo:",explore-injixo-me.md
1. Go to _Me > My Calendar_{:.breadcrumbs}.,1. Ga naar _Me > Mijn agenda_{:.breadcrumbs}.,explore-injixo-me.md
2. Click _Subscribe_{:.doc-button} in the upper right:,2. Klik op _Abonneren_{:.doc-button} in de rechterbovenhoek.,explore-injixo-me.md
"   - Click _Subscribe now_{:.doc-button} to open the default calendar app of your browser or operating system. For example, if you're signed into a Google Account, Google Chrome will automatically open the URL with Google Calendar. If you're using Microsoft Edge on Windows, the default calendar app will open, or you will be asked to choose an app.","   - Klik op _Nu abonneren_{:.doc-button} om de standaard agenda-app van je browser of besturingssysteem te openen. Als je bijvoorbeeld bent aangemeld met een Google Account, dan opent Google Chrome automatisch de URL met Google Agenda. Als je Microsoft Edge on Windows gebruikt, dan wordt de standaard agenda geopend, of je wordt gevraagd om een app te selecteren.",explore-injixo-me.md
   - Click **view subscription link** to copy and paste the link into another calendar app.,   - Klik op **Of abonnementslink bekijken** om de link in een andere agenda-app te kopiëren.,explore-injixo-me.md
3. Click _Close_{:.doc-button}.,3. Klik op _Sluiten_{:.doc-button}.,explore-injixo-me.md
"When the schedule changes, your calendar app will periodically pull new data from the ICS URL. Some calendar applications allow you to manually refresh the calendar and configure the auto-refresh interval. In [Google Calendar](https://support.google.com/calendar/answer/37100?hl=en&co=GENIE.Platform%3DDesktop) and [Outlook.com](https://support.microsoft.com/en-US/office/import-or-subscribe-to-a-calendar-in-outlook-com-cff1429c-5af6-41ec-a5b4-74f2c278e98c), the interval is not configurable, and updates can take around 24 hours.","Als de planning wordt gewijzigd, dan haalt je agenda-app periodiek nieuwe gegevens op uit de ICS-URL. Bij een aantal agenda-apps kun je de agenda handmatig vernieuwen en het auto-vernieuwingsinterval configureren. In [Google Calendar](https://support.google.com/calendar/answer/37100?hl=nl&co=GENIE.Platform%3DDesktop&sjid=3712545408387584627-EU) en [Outlook.com](https://support.microsoft.com/nl-nl/office/een-agenda-importeren-of-u-abonneren-op-een-agenda-in-outlook-com-cff1429c-5af6-41ec-a5b4-74f2c278e98c) kan het interval niet worden aangepast. Het kan ongeveer 24 uur duren voordat er een update plaatsvindt.",explore-injixo-me.md
### Download your schedule,### Je planning downloaden,explore-injixo-me.md
"If your schedule has been published, you can download it as a PDF or as an ICS file.","Als je planning is gepubliceerd, dan kun je deze downloaden als PDF- of ICS-bestand.",explore-injixo-me.md
1. Go to _Me > My Calendar_{:.breadcrumbs}.,1. Ga naar _Me > Mijn agenda_{:.breadcrumbs}.,explore-injixo-me.md
2. Click the {% icon cloud_arrow_down %} in the upper right.,2. Klik op het pictogram  Planning downloaden {% icon cloud_arrow_down  | icon-only %} in de rechterbovenhoek.,explore-injixo-me.md
3. (Optional) Edit the **Start Date** and the **End Date**.,3. (Optioneel) Bewerk de **Begindatum** en de **Einddatum**.,explore-injixo-me.md
"   The downloaded calendar displays a maximum of 100 days in the future, even if you have selected a larger time frame.","   De gedownloade agenda geeft maximaal 100 dagen in de toekomst weer, zelfs als je een groter tijdskader hebt ingesteld.",explore-injixo-me.md
"4. From the drop-down menu **Format**, select your schedule's structure and file format:",4. Selecteer in het vervolgkeuzemenu **Indeling** de structuur van de planning en het bestandsformaat:,explore-injixo-me.md
   - **List view (PDF)**: Download a list of your scheduled activities.,   - **Lijstweergave (PDF)**: Download een lijst met je ingeplande activiteiten.,explore-injixo-me.md
   - **Block view (PDF)**: Get an overview of your scheduled activities in a timeline. Each activity is displayed with the same color that you can see in your schedule in Me.,   - **Blokweergave (PDF)**: Bekijk een overzicht van je ingeplande activiteiten op een tijdlijn. Elke activiteit wordt weergegeven met dezelfde kleur als in je planning in Me.,explore-injixo-me.md
   - **Calendar file (ICS)**: Download your schedule and import it into your calendar application.,   - **Agendabestand (ICS)**: Download je planning en importeer deze in je agenda-app.,explore-injixo-me.md
5. Click _Download_{:.doc-button}.,5. Klik op _Downloaden_{:.doc-button}.,explore-injixo-me.md
> Note,> Opmerking,explore-injixo-me.md
>,>,explore-injixo-me.md
"> In the block view report, shifts that end past midnight are displayed entirely in the row of the day on which the shift starts. The time displayed on the **End** column refers to the day on which the shift ends.",> In het blokweergaverapport worden diensten die na middernacht eindigen volledig weergegeven in de rij van de dag waarop de dienst begint. De tijd die wordt weergegeven in de kolom **Einde** verwijst naar de dag waarop de dienst eindigt.,explore-injixo-me.md
## See your team's schedule: Team calendar,## Je teamkalender bekijken: Teamkalender,explore-injixo-me.md
"In _Me > Team Calendar_{:.breadcrumbs}, you can see the schedules of all employees in your planning unit and selection. The team calendar includes activities such as presence, breaks, and vacations. The team calendar can display day status activities, e.g. to visualize that people work in home office.","In _Me > Teamkalender_{:.breadcrumbs} kun je de planningen van alle medewerkers in je eenheid en groep bekijken. In de teamkalender vind je activiteiten zoals aanwezigheid, pauzes en vakanties. De teamkalender kan dagstatusactiviteiten weergeven, bijvoorbeeld om te visualiseren dat medewerkers thuis werken.",explore-injixo-me.md
## Manage your time-off requests: Time Off,## Je verlofaanvragen beheren: Verlof,explore-injixo-me.md
In _Me > Time Off_{:.breadcrumbs} you can see your time-off balance and request time off.,In _Me > Verlof_{:.breadcrumbs} kun je je verlofsaldo bekijken en verlofaanvragen indienen.,explore-injixo-me.md
### Check your time-off balance,### Je verlofsaldo bekijken,explore-injixo-me.md
1. Go to _Me > Time Off_{:.breadcrumbs}.,1. Ga naar _Me > Verlof_{:.breadcrumbs}.,explore-injixo-me.md
"2. From the drop-down menu at the top left, select an activity.",2. Selecteer een activiteit in het vervolgkeuzemenu linksboven.,explore-injixo-me.md
"The three boxes under the drop-down menu display the requested, remaining, and approved time off.","In de drie vakken onder het vervolgkeuzemenu worden de aangevraagde, resterende en goedgekeurde verlofaanvragen weergegeven.",explore-injixo-me.md
Use the drop-down menu below to filter your time-off requests by approval status.,Gebruik de onderstaande vervolgkeuzemenu's om je verlofaanvragen op goedkeuringsstatus te filteren.,explore-injixo-me.md
Different colors identify the status of your submitted requests in the request list and in the calendar:,De status van je ingediende aanvragen wordt in de lijst en in de kalender met verschillende kleuren aangeduid:,explore-injixo-me.md
- Green: Approved requests,- Groen: Goedgekeurde aanvragen,explore-injixo-me.md
- Blue: Pending requests,- Blauw: Aanvragen in behandeling,explore-injixo-me.md
- Red: Declined requests,- Rood: Afgewezen aanvragen,explore-injixo-me.md
### Request time off,### Verlof aanvragen,explore-injixo-me.md
You can only request days which are included in a published time-off period.,Je kunt alleen dagen aanvragen die binnen een gepubliceerde verlofperiode vallen.,explore-injixo-me.md
1. Go to _Me > Time Off_{:.breadcrumbs}.,1. Ga naar _Me > Verlof_{:.breadcrumbs}.,explore-injixo-me.md
"2. From the drop-down menu at the top left, select an activity .",2. Selecteer in het vervolgkeuzemenu linksboven een activiteit.,explore-injixo-me.md
3. Click _Request Time Off_{:.doc-button} or a date in the calendar on the right.,3. Klik op _Verlof aanvragen_{:.doc-button} of op een datum in de kalender aan de rechterkant.,explore-injixo-me.md
   You can select only the days with a white background. You cannot select the days with a gray background. The days formatted in bold are the ones on which you are scheduled.,"   Je kunt alleen dagen selecteren met een witte achtergrond. Je kunt geen dagen selecteren met een grijze achtergrond. De dagen die vetgedrukt zijn, zijn de dagen waarop je bent ingepland.",explore-injixo-me.md
"4. In the dialog window, select one of the tabs:",4. Selecteer een van de tabbladen in het dialoogvenster:,explore-injixo-me.md
   - **Full Day Request**: adjust the **Start Date** and the **End Date**.,   - **Aanvraag voor hele dag**: pas de **Begindatum** en de **Einddatum** aan.,explore-injixo-me.md
"   - **Part Day Request**: adjust the **Start Date**, the **Start Time** and the **End Time**.","   - **Aanvraag voor dagdeel**: pas de **Begindatum**, de **Begintijd** en de **Eindtijd** aan.",explore-injixo-me.md
5. (Optional) Add a comment for your planner.,5. (Optioneel) Voeg een opmerking toe voor je planner.,explore-injixo-me.md
6. Click _Create request_{:.doc-button}.,6. Klik op _Aanvraag indienen_{:.doc-button}.,explore-injixo-me.md
   Your request is saved as pending. The requests list and the calendar now display your new request.,   Je aanvraag wordt opgeslagen met de status 'in behandeling'. Je nieuwe aanvraag wordt nu in de lijst met aanvragen en je agenda weergegeven.,explore-injixo-me.md
### Delete a time-off request,### Een verlofaanvraag verwijderen,explore-injixo-me.md
You can delete a time-off request as long as it has not been approved or rejected.,Je kunt een verlofaanvraag verwijderen zolang deze nog niet is goedgekeurd of afgewezen.,explore-injixo-me.md
"- In _Me > Time Off_{:.breadcrumbs}, click the {% icon trash %} next to the request that you want to delete.",- Klik in _Me > Verlof_{:.breadcrumbs} op het {% icon trash %} naast de aanvraag die je wilt verwijderen.,explore-injixo-me.md
## Set your availabilities: Availability,## Je beschikbaarheid instellen: Beschikbaarheid,explore-injixo-me.md
Availabilities allow you to define time periods in which you are not available to work.,In Beschikbaarheid kun je periodes aangeven waarin je niet beschikbaar bent voor werk.,explore-injixo-me.md
In _Me > Availability_{:.breadcrumbs} you can set up to 14 availabilities.,In _Me > Beschikbaarheid_{:.breadcrumbs} kun je maximaal 14 beschikbaarheidskaders invoeren.,explore-injixo-me.md
### Set an availability,### Een beschikbaarheidskader aanmaken,explore-injixo-me.md
1. Go to _Me > Availability_{:.breadcrumbs}.,1. Ga naar _Me > Beschikbaarheid_{:.breadcrumbs}.,explore-injixo-me.md
2. Click _Set Availability_{:.doc-button} or select a day in the calendar.,2. Klik op _Beschikbaarheid instellen_{:.doc-button} of selecteer een dag in de kalender.,explore-injixo-me.md
   A dialog window opens.,   Er wordt een dialoogvenster geopend.,explore-injixo-me.md
3. Set the **Available** toggle:,3. Zet het schuifje bij **Beschikbaar**:,explore-injixo-me.md
   - To **True** to enter time periods in which you are available.,   - op **Ja** om perioden in te voeren waarin je beschikbaar bent.,explore-injixo-me.md
   - To **No** to enter time periods in which you are not available.,   - op **Nee** om perioden in te voeren waarin je niet beschikbaar bent.,explore-injixo-me.md
4. Enter a **Start Time** and an **End Time**.,4. Voer een **Begintijd** en een **Eindtijd** in.,explore-injixo-me.md
5. (Optional) Define the **Valid From** and **Valid To** dates of the period during which the restriction should apply.,5. (Optioneel) Voer een **Begindatum** en **Einddatum** in voor de periode tijdens welke de beperking geldt.,explore-injixo-me.md
6. Click _Set Availability_{:.doc-button}.,6. Klik op _Beschikbaarheid instellen_{:.doc-button}.,explore-injixo-me.md
   Your availabilities will be considered for scheduling. There are exceptions to this process. Speak to your planner or supervisor to see if they apply to you.,   Er wordt bij het plannen rekening gehouden met je beschikbaarheid. Er zijn uitzonderingen op deze regel. Neem contact op met je planner om te zien of deze voor jou van toepassing zijn.,explore-injixo-me.md
### Edit an availability,### Een beschikbaarheidskader bewerken,explore-injixo-me.md
1. Go to _Me > Availability_{:.breadcrumbs}.,1. Ga naar _Me > Beschikbaarheid_{:.breadcrumbs}.,explore-injixo-me.md
"2. In the **Availabilities** section, click the {% icon pencil %} next to the availability that you want to edit.",2. Klik in de sectie **Beschikbaarheid** op het {% icon pencil %} naast het beschikbaarheidskader dat je wilt bewerken.,explore-injixo-me.md
3. Make your changes.,3. Breng de gewenste wijzigingen aan.,explore-injixo-me.md
4. Click _Edit Availability_{:.doc-button} to save the changes.,4. Klik op _Beschikbaarheid bewerken_{:.doc-button} om de wijzigingen op te slaan.,explore-injixo-me.md
### Delete an availability,### Een beschikbaarheidskader verwijderen,explore-injixo-me.md
1. Go to _Me > Availability_{:.breadcrumbs}.,1. Ga naar _Me > Beschikbaarheid_{:.breadcrumbs}.,explore-injixo-me.md
"2. In the **Availabilities** section, click the {% icon trash %} next to the availability that you want to delete.",2. Klik in de sectie **Beschikbaarheid** op het {% icon trash %} naast het beschikbaarheidskader dat je wilt bewerken.,explore-injixo-me.md
## Clock in and track your activities: Time Recording,## Inklokken en je activiteiten registreren: Tijdregistratie,explore-injixo-me.md
"In _Me > Time Recording_{:.breadcrumbs}, you can:",In _Me > Tijdregistratie_{:.breadcrumbs} kun je:,explore-injixo-me.md
- Clock in and out.,- in- en uitklokken;,explore-injixo-me.md
- Record the activity that you are currently working on.,- de activiteit registreren waar je op dit moment aan werkt;,explore-injixo-me.md
- See an overview of the time you spent on activities.,- een overzicht bekijken van de tijd die je aan activiteiten hebt besteed.,explore-injixo-me.md
"### Clock in, switch activities, and clock out","### Inklokken, overschakelen naar een andere activiteit en uitklokken",explore-injixo-me.md
> Note,> Opmerking,explore-injixo-me.md
>,>,explore-injixo-me.md
"> You can clock in and out, and switch activities in _Me > Time Recording_{:.breadcrumbs} and in _Me > Dashboard_{:.breadcrumbs}",> Je kunt in- en uitklokken en overschakelen naar een andere activiteit in _Me > Tijdregistratie_{:.breadcrumbs} en in _Me > Dashboard_{:.breadcrumbs},explore-injixo-me.md
"To clock in, proceed as follows:",Volg de volgende stappen om in te klokken:,explore-injixo-me.md
"1. In _Me > Time Recording_{:.breadcrumbs}, select the current day.",1. In _Me > Tijdregistratie_{:.breadcrumbs} selecteer je de huidige dag.,explore-injixo-me.md
2. Click _Clock In_{:.doc-button}.,2. Klik op _Inklokken_{:.doc-button}.,explore-injixo-me.md
"3. In the dialog window, select an activity from the drop-down menu, and click _Start_{:.doc-button}.",3. In het dialoogvenster selecteer je een activiteit in het vervolgkeuzemenu. Klik daarna op _Starten_{:.doc-button}.,explore-injixo-me.md
   _Me > Dashboard_{:.breadcrumbs} opens. You can see the clock-in date and time information next to _Clock Out_{:.doc-button}.,   _Me > Dashboard_{:.breadcrumbs} wordt geopend. Naast _Uitklokken_{:.doc-button} worden de inkloktijd en -datum weergegeven.,explore-injixo-me.md
"To switch activities, proceed as follows:",Volg de volgende stappen om over te schakelen naar een andere activiteit:,explore-injixo-me.md
"1. In _Me > Time Recording_{:.breadcrumbs}, click _Switch_{:.doc-button}.",1. Klik in _Me > Tijdregistratie_{:.breadcrumbs} op _Overschakelen_{:.doc-button}.,explore-injixo-me.md
"2. In the dialog window, select an activity from the drop-down menu, and click _Switch_{:.doc-button}.",2. In het dialoogvenster selecteer je een activiteit in het vervolgkeuzemenu. Klik daarna op _Overschakelen_{:.doc-button}.,explore-injixo-me.md
"To clock out, proceed as follows:",Volg de volgende stappen om uit te klokken:,explore-injixo-me.md
"1. In _Me > Time Recording_{:.breadcrumbs}, select the current day.",1. In _Me > Tijdregistratie_{:.breadcrumbs} selecteer je de huidige dag.,explore-injixo-me.md
2. Click _Clock Out_{:.doc-button}.,2. Klik op _Uitklokken_{:.doc-button}.,explore-injixo-me.md
### See an overview of the time you spent on activities,### Een overzicht bekijken van de tijd die je aan activiteiten hebt besteed,explore-injixo-me.md
"In _Me > Time Recording_{:.breadcrumbs}, in the **Time Statistics** section, use the buttons to filter the view by activity type or by activity, and by time period.","Gebruik de knoppen in _Me > Tijdregistratie_{:.breadcrumbs}, in de sectie **Tijdstatistieken** om te filteren op activiteitentype, activiteit of tijdsperiode.",explore-injixo-me.md
"In the **Time Recording** section, you can see start time, end time, and duration of the activities that you recorded. You can also see the total amount of time that you recorded.","In de sectie **Tijdregistratie** zie je de starttijd, eindtijd en de duur van de activiteiten die je hebt geregistreerd. Je kunt hier ook de totale tijd zien die je hebt geregistreerd.",explore-injixo-me.md
Add a cloud integration,Een cloudintegratie toevoegen,add-cloud-integration.md
Connect your cloud ACD to injixo to import data.,Verbind je cloud-ACD met injixo om gegevens te importeren.,add-cloud-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,Heb je nog weinig ervaring met integraties? Maak je dan eerst vertrouwd met de {% link_new basisprincipes | features/acd-integration/cloud/how-integrations-work.md %}.,add-cloud-integration.md
## What are cloud integrations?,## Wat zijn cloudintegraties?,add-cloud-integration.md
Cloud integrations fetch data directly from a cloud system. injixo supports a variety of cloud integrations.,Cloudintegraties halen gegevens direct uit een cloudsysteem. injixo ondersteunt een groot aantal cloudintegraties.,add-cloud-integration.md
## Add a cloud integration,## Een cloudintegratie toevoegen,add-cloud-integration.md
1. Go to *Account > Integrations*{:.breadcrumbs}. The page shows all available integrations.,1. Ga naar *Account > Integraties*{:.breadcrumbs}. Op deze pagina worden alle beschikbare integraties weergegeven.,add-cloud-integration.md
"2. Click *Add integration*{:.doc-button} and enter the required information. In this example, we're setting up the Five9 integration, but the process for setting up other cloud integrations is similar.","2. Klik *Voeg integratie toe*{:.doc-button} en voer de benodigde informatie in. In dit voorbeeld stellen we de Five9-integratie in, maar de procedure voor het instellen van andere cloudintegraties is vergelijkbaar.",add-cloud-integration.md
3. Choose a unique name for your integration. The name should reflect the source of the data.,3. Kies een unieke naam voor je integratie. De naam moet verwijzen naar de bron van de gegevens.,add-cloud-integration.md
4. Enter the **username** and **password** for a user that has an administrator role in your Five9 account.,4. Voer de **gebruikersnaam** en het **wachtwoord** in van een gebruiker die in je Five9-account een adminrol heeft.,add-cloud-integration.md
5. Configure further integration-specific details (i.e. the region of your Five9 account and how you would like to group the queues).,5. Stel de overige integratiespecifieke gegevens in (zoals de regio van je Five9-account en de manier waarop je je queues wilt groeperen).,add-cloud-integration.md
6. Click _Save_{:.doc-button} to create the integration with the provided information.,6. Klik op _Integratie opslaan_{:.doc-button} om de integratie op te zetten met de ingevoerde gegevens.,add-cloud-integration.md
"{{ 1 | image: 'Five9 integration', '80%' }}","{{ 1 | image: 'Five9-integratie', '80%' }}",add-cloud-integration.md
The integration now imports data into injixo. The initial import can take up to 15 minutes. All queues from the connected system will automatically be available for mapping on the {% link_new workload configuration screen | features/forecast/injixo-forecast/manage-workloads.md | #create-workloads %} in injixo Forecast.,De integratie importeert nu gegevens naar injixo. Het importeren kan tot 15 minuten duren. Alle queues van het gekoppelde systeem zijn automatisch beschikbaar voor mapping op het {% link_new workload-configuratiescherm | features/forecast/injixo-forecast/manage-workloads.md | #workloads-aanmaken %} in injixo Forecast.,add-cloud-integration.md
"If your integration supports the import of agent status data, you need to {% link_new map external user identifiers and activities | features/acd-integration/cloud/import-agent-status-data.md %} before agent status data can be imported.","Als je integratie de import van agentstatusgegevens ondersteunt, dan dien je eerst {% link_new externe gebruiker-IDs en activiteiten te mappen | features/acd-integration/cloud/import-agent-status-data.md %} voordat je agentstatusgegevens kunt importeren.",add-cloud-integration.md
Add a Freshdesk Contact Center integration,Een Freshdesk Contact Center-integratie toevoegen,add-freshdesk-contact-center-integration.md
Learn how to connect your Freshdesk Contact Center CRM to injixo to import data.,Lees hoe je je Freshdesk Contact Center-CRM verbindt met injixo om gegevens te importeren.,add-freshdesk-contact-center-integration.md
A Freshdesk Contact Center integration is a cloud integration that imports call history and real-time adherence data.,"Een Freshdesk Contact Center-integratie is een cloudintegratie die de oproepgeschiedenis, en realtime adherencegegevens importeert.",add-freshdesk-contact-center-integration.md
New to integrations? Learn {% link_new the basics | features/acd-integration/cloud/how-integrations-work.md %} first.,Heb je nog weinig ervaring met integraties? Maak je dan eerst vertrouwd met de {% link_new basisprincipes | features/acd-integration/cloud/how-integrations-work.md %}.,add-freshdesk-contact-center-integration.md
## Add a Freshdesk Contact Center integration,## Een Freshdesk Contact Center-integratie toevoegen,add-freshdesk-contact-center-integration.md
"To add a new Freshdesk Contact Center integration in injixo, you need to have a Pro or Enterprise Freshdesk Contact Center account.","Om in injixo een nieuwe Freshdesk Contact Center-integratie toe te voegen, heb je een Freshdesk Contact Center Pro- of Enterprise-account nodig.",add-freshdesk-contact-center-integration.md
1. Go to _Account > Integrations_{:.breadcrumbs}.,1. Ga naar _Account > Integraties_{:.breadcrumbs}.,add-freshdesk-contact-center-integration.md
"2. If there already is an integration, click _Add integration_{:.doc-button}.","2. Als je al een integratie hebt, klik dan op _Voeg integratie toe_{:.doc-button}.",add-freshdesk-contact-center-integration.md
"3. In the **Freshworks** tile, click _Select model_{:.doc-button}.",3. Klik in de **Freshworks**-tegel op _Kies een model_{:.doc-button}.,add-freshdesk-contact-center-integration.md
"4. In the **Freshdesk Contact Center** section, click _Add integration_{:.doc-button}.",4. Klik in de sectie **Freshdesk Contact Center** op _Voeg integratie toe_{:.doc-button}.,add-freshdesk-contact-center-integration.md
## Set up your Freshdesk Contact Center integration,## Maak je Freshdesk Contact Center-integratie aan,add-freshdesk-contact-center-integration.md
1. Enter a unique name for the new integration that identifies the data source.,1. Geef de nieuwe integratie een unieke naam die naar de gegevensbron verwijst.,add-freshdesk-contact-center-integration.md
"2. In the **Credentials** section, enter your Freshdesk Contact Center domain name (including the subdomain), e.g. example.freshcaller.com.","2. Vul in de sectie **Toegangsgegevens** je domeinnaam van het Freshdesk Contact Center in (inclusief subdomein), bijvoorbeeld example.freshcaller.com.",add-freshdesk-contact-center-integration.md
3. Go to Freshdesk Contact Center and copy a valid API key of a user with the Account Administrator.,3. Ga naar Freshdesk Contact Center en kopieer een geldige API-key van een gebruiker met de rol Account Administrator.,add-freshdesk-contact-center-integration.md
4. Go back to injixo and paste the API key in the **API key** field.,4. Ga terug naar injixo en plak de API-key in het veld **API key**.,add-freshdesk-contact-center-integration.md
